package_id,impact_score_standardized,moisture_score_standardized,latent_damage_score,damage_label,initial_probability,trained_logit,trained_probability,predicted_damage_at_0_5,binary_cross_entropy_contribution,probability_minus_label,signed_boundary_distance,classification_correct
PKG50-226,0.164129,1.851891,2.024414,1,0.500000,4.218835,0.985498,1,0.014609,-0.014502,0.983665,1
PKG50-227,1.624175,0.797353,2.564884,1,0.500000,7.023512,0.999110,1,0.000890,-0.000890,1.637604,1
PKG50-228,-0.989104,1.223724,-1.154068,0,0.500000,-1.397611,0.198196,0,0.220891,0.198196,-0.325867,1
PKG50-229,0.123915,1.847321,2.187934,1,0.500000,4.063337,0.983099,1,0.017045,-0.016901,0.947409,1
PKG50-230,-1.030884,-0.931797,-3.864618,0,0.500000,-6.565705,0.001406,0,0.001407,0.001406,-1.530861,1
PKG50-231,0.246324,-0.425712,-0.898368,0,0.500000,-0.786854,0.312845,0,0.375195,0.312845,-0.183463,1
PKG50-232,-0.345619,0.235878,-1.027681,0,0.500000,-1.379127,0.201149,0,0.224581,0.201149,-0.321557,1
PKG50-233,-0.726867,-0.282713,-1.263595,0,0.500000,-3.959637,0.018713,0,0.018890,0.018713,-0.923230,1
PKG50-234,-0.523271,-2.592789,-4.318276,0,0.500000,-8.603603,0.000183,0,0.000183,0.000183,-2.006018,1
PKG50-235,-1.254543,-0.652254,-3.348164,0,0.500000,-6.720659,0.001204,0,0.001205,0.001204,-1.566990,1
PKG50-236,-0.771982,0.151732,-1.411051,0,0.500000,-3.110857,0.042662,0,0.043598,0.042662,-0.725328,1
PKG50-237,0.947900,-0.636172,0.428258,1,0.500000,1.250476,0.777382,1,0.251823,-0.222618,0.291561,1
PKG50-238,0.726606,0.622510,1.874624,1,0.500000,3.383268,0.967177,1,0.033373,-0.032823,0.788844,1
PKG50-239,-0.878460,0.592095,-0.333957,0,0.500000,-2.469343,0.078035,0,0.081249,0.078035,-0.575753,1
PKG50-240,-0.800740,0.123293,-1.205599,0,0.500000,-3.280649,0.036241,0,0.036914,0.036241,-0.764917,1
