distributor_id,market,product_id,product_family,training_interaction_count,held_out_relevant,seen_in_training,stock_available,market_eligible,popularity_score,latent_score,popularity_unseen_rank,latent_unseen_rank,final_business_score,final_eligible_rank,recommended_top_5
D43-023,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,9,5,0.000000,,0
D43-024,AMER,SKU-01,noodles,0,0,0,1,1,60.00,0.258352,3,1,0.318352,1,1
D43-024,AMER,SKU-02,spices,0,0,0,1,1,51.00,0.198200,5,2,0.096200,7,0
D43-024,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.052517,6,6,0.132517,6,0
D43-024,AMER,SKU-04,tea,0,0,0,1,1,88.00,0.036984,1,7,0.040984,8,0
D43-024,AMER,SKU-05,noodles,0,0,0,1,1,46.00,0.066559,7,4,0.154559,5,1
D43-024,AMER,SKU-06,spices,1,0,1,0,1,51.00,0.170197,,,0.068197,,0
D43-024,AMER,SKU-07,coffee,0,0,0,1,1,46.00,0.112863,8,3,0.200863,3,1
D43-024,AMER,SKU-08,tea,0,0,0,1,1,19.00,0.063638,9,5,0.205638,2,1
D43-024,AMER,SKU-09,noodles,0,0,0,1,1,84.00,-0.078630,2,11,-0.066630,9,0
D43-024,AMER,SKU-10,spices,0,0,0,1,1,58.00,-0.060551,4,10,-0.176551,10,0
D43-024,AMER,SKU-11,coffee,0,0,0,0,1,4.00,-0.002862,10,9,0.169138,,0
D43-024,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,8,0.180000,4,1
D43-025,SEA,SKU-01,noodles,0,0,0,1,1,60.00,0.964347,2,2,0.844347,1,1
D43-025,SEA,SKU-02,spices,0,0,0,1,1,51.00,-0.543417,4,8,-0.465417,6,0
D43-025,SEA,SKU-03,coffee,0,0,0,1,1,50.00,-1.147491,6,9,-1.247491,7,0
D43-025,SEA,SKU-04,tea,2,0,1,1,1,88.00,3.971207,,,3.795207,,0
D43-025,SEA,SKU-05,noodles,5,0,1,1,1,46.00,2.860300,,,2.768300,,0
D43-025,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.971076,5,1,1.049076,,0
D43-025,SEA,SKU-07,coffee,5,0,1,1,1,46.00,3.407328,,,3.315328,,0
D43-025,SEA,SKU-08,tea,0,0,0,1,1,19.00,-0.281819,7,6,-0.319819,5,1
D43-025,SEA,SKU-09,noodles,0,1,0,1,1,84.00,0.031945,1,3,-0.136055,3,1
D43-025,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.379694,3,7,-0.315694,4,1
D43-025,SEA,SKU-11,coffee,0,0,0,0,1,4.00,-0.096253,8,5,-0.104253,,0
D43-025,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,4,0.000000,2,1
D43-026,MEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.296640,2,8,-0.416640,8,0
D43-026,MEA,SKU-02,spices,0,0,0,1,1,51.00,0.050981,3,5,-0.051019,5,1
D43-026,MEA,SKU-03,coffee,0,0,0,1,1,50.00,1.263268,5,1,1.343268,1,1
D43-026,MEA,SKU-04,tea,0,0,0,1,1,88.00,0.842231,1,2,0.846231,2,1
D43-026,MEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.282058,6,7,-0.374058,7,0
D43-026,MEA,SKU-06,spices,0,0,0,0,1,51.00,-0.399462,4,10,-0.501462,,0
D43-026,MEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.345812,7,9,-0.257812,6,0
D43-026,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.069240,8,4,0.211240,3,1
D43-026,MEA,SKU-09,noodles,2,0,1,1,1,84.00,2.485153,,,2.317153,,0
D43-026,MEA,SKU-10,spices,4,0,1,1,0,58.00,1.870259,,,1.754259,,0
D43-026,MEA,SKU-11,coffee,0,0,0,0,1,4.00,0.134855,9,3,0.306855,,0
D43-026,MEA,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,6,0.180000,4,1
D43-027,EU,SKU-01,noodles,0,0,0,1,1,60.00,0.282729,1,3,0.162729,4,1
D43-027,EU,SKU-02,spices,0,0,0,1,1,51.00,0.394319,2,2,0.292319,2,1
D43-027,EU,SKU-03,coffee,4,0,1,1,1,50.00,2.744478,,,2.644478,,0
D43-027,EU,SKU-04,tea,3,0,1,1,1,88.00,3.671720,,,3.495720,,0
D43-027,EU,SKU-05,noodles,3,0,1,1,1,46.00,0.587535,,,0.495535,,0
D43-027,EU,SKU-06,spices,0,0,0,0,1,51.00,-0.178065,3,6,-0.280065,,0
D43-027,EU,SKU-07,coffee,0,0,0,1,1,46.00,0.757688,4,1,0.665688,1,1
D43-027,EU,SKU-08,tea,0,0,0,1,1,19.00,0.213123,5,4,0.175123,3,1
D43-027,EU,SKU-09,noodles,5,0,1,1,1,84.00,5.845032,,,5.677032,,0
D43-027,EU,SKU-10,spices,5,0,1,1,1,58.00,4.238861,,,4.122861,,0
D43-027,EU,SKU-11,coffee,1,0,1,0,1,4.00,0.282581,,,0.274581,,0
D43-027,EU,SKU-12,tea,0,1,0,1,0,0.00,0.000000,6,5,0.000000,,0
D43-028,AMER,SKU-01,noodles,0,0,0,1,1,60.00,0.451644,3,2,0.511644,2,1
D43-028,AMER,SKU-02,spices,0,0,0,1,1,51.00,0.469877,5,1,0.547877,1,1
D43-028,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.305159,7,3,0.385159,3,1
D43-028,AMER,SKU-04,tea,0,0,0,1,1,88.00,-0.163897,1,11,-0.339897,9,0
D43-028,AMER,SKU-05,noodles,0,0,0,1,1,46.00,-0.105312,8,10,-0.017312,8,0
D43-028,AMER,SKU-06,spices,0,0,0,0,1,51.00,0.254550,6,4,0.332550,,0
D43-028,AMER,SKU-07,coffee,0,0,0,1,1,46.00,-0.054584,9,9,0.033416,6,0
D43-028,AMER,SKU-08,tea,4,0,1,1,1,19.00,0.163600,,,0.125600,,0
D43-028,AMER,SKU-09,noodles,0,0,0,1,1,84.00,0.032338,2,6,0.044338,5,1
D43-028,AMER,SKU-10,spices,0,1,0,1,1,58.00,0.053071,4,5,0.117071,4,1
D43-028,AMER,SKU-11,coffee,0,0,0,0,1,4.00,0.012440,10,7,0.184440,,0
D43-028,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,8,0.000000,7,0
D43-029,SEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.139939,1,6,-0.259939,6,0
D43-029,SEA,SKU-02,spices,0,0,0,1,1,51.00,-0.591737,3,9,-0.513737,7,0
D43-029,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.850996,5,3,0.930996,3,1
D43-029,SEA,SKU-04,tea,5,0,1,1,1,88.00,3.733634,,,3.557634,,0
D43-029,SEA,SKU-05,noodles,1,0,1,1,1,46.00,1.435340,,,1.343340,,0
D43-029,SEA,SKU-06,spices,0,0,0,0,1,51.00,-0.141669,4,7,-0.063669,,0
D43-029,SEA,SKU-07,coffee,0,0,0,1,1,46.00,1.646418,6,2,1.734418,2,1
D43-029,SEA,SKU-08,tea,0,0,0,1,1,19.00,-0.190777,7,8,-0.228777,5,1
D43-029,SEA,SKU-09,noodles,5,0,1,1,1,84.00,3.478291,,,3.310291,,0
D43-029,SEA,SKU-10,spices,0,0,0,1,1,58.00,2.349571,2,1,2.413571,1,1
D43-029,SEA,SKU-11,coffee,0,1,0,0,1,4.00,0.121078,8,4,0.293078,,0
D43-029,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,5,0.000000,4,1
D43-030,MEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.112271,2,6,-0.232271,5,1
D43-030,MEA,SKU-02,spices,0,0,0,1,1,51.00,0.237881,3,2,0.135881,4,1
D43-030,MEA,SKU-03,coffee,1,0,1,1,1,50.00,1.320768,,,1.220768,,0
D43-030,MEA,SKU-04,tea,0,0,0,1,1,88.00,0.686969,1,1,0.690969,1,1
D43-030,MEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.336735,5,8,-0.428735,6,0
D43-030,MEA,SKU-06,spices,0,0,0,0,1,51.00,-0.286394,4,7,-0.388394,,0
D43-030,MEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.382589,6,9,-0.474589,7,0
D43-030,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.132262,7,4,0.274262,2,1
D43-030,MEA,SKU-09,noodles,2,0,1,1,1,84.00,2.351636,,,2.183636,,0
D43-030,MEA,SKU-10,spices,3,0,1,1,0,58.00,1.785270,,,1.669270,,0
D43-030,MEA,SKU-11,coffee,0,1,0,0,1,4.00,0.132825,8,3,0.124825,,0
D43-030,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,5,0.180000,3,1
D43-031,EU,SKU-01,noodles,0,0,0,1,1,60.00,0.683536,3,1,0.743536,1,1
D43-031,EU,SKU-02,spices,2,0,1,1,1,51.00,0.681787,,,0.579787,,0
D43-031,EU,SKU-03,coffee,0,0,0,1,1,50.00,0.403770,6,2,0.483770,2,1
D43-031,EU,SKU-04,tea,0,0,0,1,1,88.00,-0.205892,1,11,-0.201892,8,0
D43-031,EU,SKU-05,noodles,0,0,0,1,1,46.00,-0.109234,7,10,-0.021234,6,0
D43-031,EU,SKU-06,spices,0,1,0,0,1,51.00,0.396401,5,3,0.294401,,0
D43-031,EU,SKU-07,coffee,0,0,0,1,1,46.00,-0.025776,8,9,0.062224,4,1
D43-031,EU,SKU-08,tea,0,0,0,1,1,19.00,0.234939,9,4,0.376939,3,1
D43-031,EU,SKU-09,noodles,0,0,0,1,1,84.00,-0.008956,2,8,0.003044,5,1
D43-031,EU,SKU-10,spices,0,0,0,1,1,58.00,0.029968,4,5,-0.086032,7,0
D43-031,EU,SKU-11,coffee,0,0,0,0,1,4.00,0.013876,10,6,0.185876,,0
D43-031,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,11,7,0.180000,,0
D43-032,AMER,SKU-01,noodles,0,0,0,1,1,60.00,1.249288,3,1,1.309288,1,1
D43-032,AMER,SKU-02,spices,2,0,1,1,1,51.00,1.489327,,,1.387327,,0
D43-032,AMER,SKU-03,coffee,4,0,1,1,1,50.00,1.420474,,,1.320474,,0
D43-032,AMER,SKU-04,tea,0,0,0,1,1,88.00,-0.391086,1,8,-0.387086,6,0
D43-032,AMER,SKU-05,noodles,0,0,0,1,1,46.00,-0.544910,6,10,-0.456910,7,0
D43-032,AMER,SKU-06,spices,0,0,0,0,1,51.00,0.606471,5,4,0.504471,,0
D43-032,AMER,SKU-07,coffee,0,0,0,1,1,46.00,-0.434015,7,9,-0.526015,8,0
D43-032,AMER,SKU-08,tea,0,0,0,1,1,19.00,0.540097,8,5,0.682097,4,1
D43-032,AMER,SKU-09,noodles,0,0,0,1,1,84.00,0.944170,2,2,0.956170,2,1
D43-032,AMER,SKU-10,spices,0,0,0,1,1,58.00,0.816673,4,3,0.700673,3,1
D43-032,AMER,SKU-11,coffee,0,0,0,0,1,4.00,0.088429,9,6,0.080429,,0
D43-032,AMER,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,7,0.180000,5,1
D43-033,SEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.484012,2,9,-0.604012,8,0
D43-033,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.037546,3,5,-0.064454,5,1
D43-033,SEA,SKU-03,coffee,0,0,0,1,1,50.00,1.978113,5,1,2.058113,1,1
D43-033,SEA,SKU-04,tea,0,0,0,1,1,88.00,1.451794,1,2,1.455794,2,1
D43-033,SEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.379696,6,7,-0.471696,7,0
D43-033,SEA,SKU-06,spices,0,0,0,0,1,51.00,-0.635351,4,10,-0.737351,,0
D43-033,SEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.472832,7,8,-0.384832,6,0
D43-033,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.093493,8,4,0.235493,3,1
D43-033,SEA,SKU-09,noodles,5,0,1,1,1,84.00,3.982093,,,3.814093,,0
D43-033,SEA,SKU-10,spices,4,0,1,1,1,58.00,2.985654,,,2.869654,,0
D43-033,SEA,SKU-11,coffee,0,1,0,0,1,4.00,0.213126,9,3,0.385126,,0
D43-033,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,10,6,0.180000,4,1
D43-034,MEA,SKU-01,noodles,0,0,0,1,1,60.00,0.341768,3,1,0.401768,1,1
D43-034,MEA,SKU-02,spices,1,0,1,1,1,51.00,0.340894,,,0.238894,,0
D43-034,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.201885,6,2,0.281885,2,1
D43-034,MEA,SKU-04,tea,0,0,0,1,1,88.00,-0.102946,1,11,-0.098946,8,0
D43-034,MEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.054617,7,10,0.033383,6,0
D43-034,MEA,SKU-06,spices,0,1,0,0,1,51.00,0.198200,5,3,0.096200,,0
D43-034,MEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.012888,8,9,0.075112,5,1
D43-034,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.117469,9,4,0.259469,3,1
D43-034,MEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.004478,2,8,0.007522,7,0
D43-034,MEA,SKU-10,spices,0,0,0,1,0,58.00,0.014984,4,5,-0.101016,,0
D43-034,MEA,SKU-11,coffee,0,0,0,0,1,4.00,0.006938,10,6,0.178938,,0
D43-034,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,7,0.180000,4,1
D43-035,EU,SKU-01,noodles,0,0,0,1,1,60.00,1.918828,3,1,1.978828,1,1
D43-035,EU,SKU-02,spices,0,0,0,1,1,51.00,0.926562,5,4,0.824562,4,1
D43-035,EU,SKU-03,coffee,0,0,0,1,1,50.00,-0.247711,6,8,-0.347711,6,0
D43-035,EU,SKU-04,tea,0,0,0,1,1,88.00,1.793331,1,2,1.797331,2,1
D43-035,EU,SKU-05,noodles,0,0,0,1,1,46.00,1.581328,7,3,1.669328,3,1
D43-035,EU,SKU-06,spices,5,0,1,0,1,51.00,1.415297,,,1.313297,,0
D43-035,EU,SKU-07,coffee,5,0,1,1,1,46.00,2.079743,,,1.987743,,0
D43-035,EU,SKU-08,tea,0,1,0,1,1,19.00,0.249958,8,5,0.391958,5,1
D43-035,EU,SKU-09,noodles,0,0,0,1,1,84.00,-0.604847,2,9,-0.592847,7,0
D43-035,EU,SKU-10,spices,0,0,0,1,1,58.00,-0.629170,4,10,-0.745170,8,0
D43-035,EU,SKU-11,coffee,0,0,0,0,1,4.00,-0.064930,9,7,-0.072930,,0
D43-035,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,10,6,0.180000,,0
D43-036,AMER,SKU-01,noodles,2,0,1,1,1,60.00,1.851202,,,1.731202,,0
D43-036,AMER,SKU-02,spices,0,0,0,1,1,51.00,1.476338,4,1,1.374338,1,1
D43-036,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.492946,5,3,0.572946,4,1
D43-036,AMER,SKU-04,tea,0,0,0,1,1,88.00,0.193541,1,6,0.197541,6,0
D43-036,AMER,SKU-05,noodles,0,0,0,1,1,46.00,0.382905,6,5,0.290905,5,1
D43-036,AMER,SKU-06,spices,4,0,1,0,1,51.00,1.197491,,,1.095491,,0
D43-036,AMER,SKU-07,coffee,0,0,0,1,1,46.00,0.702278,7,2,0.790278,2,1
D43-036,AMER,SKU-08,tea,0,0,0,1,1,19.00,0.480372,8,4,0.622372,3,1
D43-036,AMER,SKU-09,noodles,0,0,0,1,1,84.00,-0.439433,2,10,-0.607433,9,0
D43-036,AMER,SKU-10,spices,0,0,0,1,1,58.00,-0.328066,3,9,-0.444066,8,0
D43-036,AMER,SKU-11,coffee,0,0,0,0,1,4.00,-0.010430,9,8,0.161570,,0
D43-036,AMER,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,7,0.180000,7,0
D43-037,SEA,SKU-01,noodles,3,0,1,1,1,60.00,2.026899,,,1.906899,,0
D43-037,SEA,SKU-02,spices,2,0,1,1,1,51.00,1.597857,,,1.495857,,0
D43-037,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.610246,5,3,0.690246,2,1
D43-037,SEA,SKU-04,tea,0,0,0,1,1,88.00,0.417176,1,5,0.421176,4,1
D43-037,SEA,SKU-05,noodles,2,0,1,1,1,46.00,0.488611,,,0.396611,,0
D43-037,SEA,SKU-06,spices,0,1,0,0,1,51.00,1.304574,4,1,1.202574,,0
D43-037,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.849879,6,2,0.937879,1,1
D43-037,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.521015,7,4,0.663015,3,1
D43-037,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.261421,2,9,-0.429421,7,0
D43-037,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.207308,3,8,-0.323308,6,0
D43-037,SEA,SKU-11,coffee,0,0,0,0,1,4.00,-0.002807,8,7,0.169193,,0
D43-037,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,6,0.180000,5,1
D43-038,MEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.201550,1,7,-0.321550,6,0
D43-038,MEA,SKU-02,spices,0,0,0,1,1,51.00,-0.414712,2,9,-0.516712,7,0
D43-038,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.964608,4,2,1.044608,2,1
D43-038,MEA,SKU-04,tea,4,0,1,1,1,88.00,2.874007,,,2.698007,,0
D43-038,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.924894,5,3,0.832894,3,1
D43-038,MEA,SKU-06,spices,0,0,0,0,1,51.00,-0.227133,3,8,-0.329133,,0
D43-038,MEA,SKU-07,coffee,0,0,0,1,1,46.00,1.052086,6,1,1.140086,1,1
D43-038,MEA,SKU-08,tea,0,0,0,1,1,19.00,-0.118291,7,6,-0.156291,5,1
D43-038,MEA,SKU-09,noodles,4,0,1,1,1,84.00,3.180468,,,3.012468,,0
D43-038,MEA,SKU-10,spices,1,0,1,1,0,58.00,2.204715,,,2.088715,,0
D43-038,MEA,SKU-11,coffee,0,1,0,0,1,4.00,0.124816,8,4,0.296816,,0
D43-038,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,5,0.000000,4,1
D43-039,EU,SKU-01,noodles,0,0,0,1,1,60.00,-0.004123,2,7,-0.124123,7,0
D43-039,EU,SKU-02,spices,0,0,0,1,1,51.00,-0.059095,4,10,0.018905,6,0
D43-039,EU,SKU-03,coffee,0,0,0,1,1,50.00,0.129363,6,4,0.209363,4,1
D43-039,EU,SKU-04,tea,0,0,0,1,1,88.00,0.480518,1,1,0.484518,1,1
D43-039,EU,SKU-05,noodles,1,0,1,1,1,46.00,0.178875,,,0.086875,,0
D43-039,EU,SKU-06,spices,0,0,0,0,1,51.00,-0.012071,5,8,0.065929,,0
D43-039,EU,SKU-07,coffee,0,0,0,1,1,46.00,0.207367,7,3,0.295367,3,1
D43-039,EU,SKU-08,tea,0,0,0,1,1,19.00,-0.018244,8,9,0.123756,5,1
D43-039,EU,SKU-09,noodles,1,0,1,1,1,84.00,0.466433,,,0.298433,,0
D43-039,EU,SKU-10,spices,0,0,0,1,1,58.00,0.317557,3,2,0.381557,2,1
D43-039,EU,SKU-11,coffee,0,1,0,0,1,4.00,0.016985,9,5,0.188985,,0
D43-039,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,10,6,0.180000,,0
D43-040,AMER,SKU-01,noodles,1,0,1,1,1,60.00,0.133311,,,0.013311,,0
D43-040,AMER,SKU-02,spices,0,0,0,1,1,51.00,0.433025,2,3,0.331025,4,1
D43-040,AMER,SKU-03,coffee,0,0,0,1,1,50.00,1.419015,4,1,1.319015,1,1
D43-040,AMER,SKU-04,tea,0,0,0,1,1,88.00,0.770649,1,2,0.774649,2,1
D43-040,AMER,SKU-05,noodles,0,0,0,1,1,46.00,-0.272734,5,7,-0.364734,6,0
D43-040,AMER,SKU-06,spices,0,0,0,0,1,51.00,-0.131618,3,6,-0.233618,,0
D43-040,AMER,SKU-07,coffee,0,0,0,1,1,46.00,-0.273713,6,8,-0.365713,7,0
D43-040,AMER,SKU-08,tea,0,0,0,1,1,19.00,0.196665,7,4,0.338665,3,1
D43-040,AMER,SKU-09,noodles,1,0,1,1,1,84.00,2.373786,,,2.205786,,0
D43-040,AMER,SKU-10,spices,5,0,1,1,1,58.00,1.799200,,,1.683200,,0
D43-040,AMER,SKU-11,coffee,3,0,1,0,1,4.00,0.135072,,,0.127072,,0
D43-040,AMER,SKU-12,tea,0,1,0,1,1,0.00,0.000000,8,5,0.180000,5,1
D43-041,SEA,SKU-01,noodles,0,0,0,1,1,60.00,1.367073,3,1,1.427073,1,1
D43-041,SEA,SKU-02,spices,4,0,1,1,1,51.00,1.363574,,,1.261574,,0
D43-041,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.807540,6,2,0.887540,2,1
D43-041,SEA,SKU-04,tea,0,0,0,1,1,88.00,-0.411783,1,11,-0.407783,9,0
D43-041,SEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.218469,7,10,-0.130469,8,0
D43-041,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.792802,5,3,0.690802,,0
D43-041,SEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.051552,8,9,0.036448,5,1
D43-041,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.469877,9,4,0.611877,3,1
D43-041,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.017913,2,8,-0.005913,6,0
D43-041,SEA,SKU-10,spices,0,0,0,1,1,58.00,0.059937,4,5,-0.056063,7,0
D43-041,SEA,SKU-11,coffee,0,1,0,0,1,4.00,0.027752,10,6,0.199752,,0
D43-041,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,7,0.180000,4,1
D43-042,MEA,SKU-01,noodles,1,0,1,1,1,60.00,2.117739,,,1.997739,,0
D43-042,MEA,SKU-02,spices,5,0,1,1,1,51.00,2.046236,,,1.944236,,0
D43-042,MEA,SKU-03,coffee,0,0,0,1,1,50.00,1.150863,5,2,1.230863,1,1
D43-042,MEA,SKU-04,tea,0,0,0,1,1,88.00,-0.491926,1,10,-0.487926,7,0
D43-042,MEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.214752,6,9,-0.306752,6,0
D43-042,MEA,SKU-06,spices,0,0,0,0,1,51.00,1.249354,4,1,1.147354,,0
D43-042,MEA,SKU-07,coffee,0,0,0,1,1,46.00,0.060974,7,4,0.148974,4,1
D43-042,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.700257,8,3,0.842257,2,1
D43-042,MEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.084848,2,8,-0.252848,5,1
D43-042,MEA,SKU-10,spices,0,0,0,1,0,58.00,0.031990,3,6,-0.084010,,0
D43-042,MEA,SKU-11,coffee,0,0,0,0,1,4.00,0.035199,9,5,0.207199,,0
D43-042,MEA,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,7,0.180000,3,1
D43-043,EU,SKU-01,noodles,0,0,0,1,1,60.00,0.144197,2,5,0.024197,4,1
D43-043,EU,SKU-02,spices,0,0,0,1,1,51.00,0.849564,3,2,0.747564,2,1
D43-043,EU,SKU-03,coffee,4,0,1,1,1,50.00,2.756535,,,2.656535,,0
D43-043,EU,SKU-04,tea,0,0,0,1,1,88.00,1.063412,1,1,1.067412,1,1
D43-043,EU,SKU-05,noodles,0,0,0,1,1,46.00,-0.782826,5,8,-0.874826,5,1
D43-043,EU,SKU-06,spices,0,0,0,0,1,51.00,-0.346652,4,7,-0.448652,,0
D43-043,EU,SKU-07,coffee,0,0,0,1,1,46.00,-0.838731,6,9,-0.930731,6,0
D43-043,EU,SKU-08,tea,0,0,0,1,1,19.00,0.390568,7,3,0.532568,3,1
D43-043,EU,SKU-09,noodles,4,0,1,1,1,84.00,4.436239,,,4.268239,,0
D43-043,EU,SKU-10,spices,4,0,1,1,1,58.00,3.400561,,,3.284561,,0
D43-043,EU,SKU-11,coffee,0,1,0,0,1,4.00,0.261588,8,4,0.253588,,0
D43-043,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,9,6,0.180000,,0
D43-044,AMER,SKU-01,noodles,0,0,0,1,1,60.00,0.167896,1,3,0.047896,3,1
D43-044,AMER,SKU-02,spices,0,0,0,1,1,51.00,-0.321564,3,8,-0.243564,6,0
D43-044,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.683712,5,2,0.583712,2,1
D43-044,AMER,SKU-04,tea,2,0,1,1,1,88.00,3.234461,,,3.058461,,0
D43-044,AMER,SKU-05,noodles,1,0,1,1,1,46.00,1.352470,,,1.260470,,0
D43-044,AMER,SKU-06,spices,0,0,0,0,1,51.00,0.085966,4,5,0.163966,,0
D43-044,AMER,SKU-07,coffee,3,0,1,1,1,46.00,1.590630,,,1.498630,,0
D43-044,AMER,SKU-08,tea,0,0,0,1,1,19.00,-0.108793,6,7,-0.146793,5,1
D43-044,AMER,SKU-09,noodles,5,0,1,1,1,84.00,2.741709,,,2.573709,,0
D43-044,AMER,SKU-10,spices,0,0,0,1,1,58.00,1.826829,2,1,1.890829,1,1
D43-044,AMER,SKU-11,coffee,0,1,0,0,1,4.00,0.090868,7,4,0.082868,,0
D43-044,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,8,6,0.000000,4,1
D43-045,SEA,SKU-01,noodles,0,0,0,1,1,60.00,0.000000,3,1,0.060000,8,0
D43-045,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.000000,5,2,0.078000,6,0
D43-045,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.000000,7,3,0.080000,5,1
D43-045,SEA,SKU-04,tea,0,0,0,1,1,88.00,0.000000,1,4,0.004000,10,0
D43-045,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.000000,8,5,0.088000,3,1
D43-045,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.000000,6,6,0.078000,,0
D43-045,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.000000,9,7,0.088000,4,1
D43-045,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.000000,10,8,0.142000,2,1
D43-045,SEA,SKU-09,noodles,0,0,0,1,1,84.00,0.000000,2,9,0.012000,9,0
D43-045,SEA,SKU-10,spices,0,0,0,1,1,58.00,0.000000,4,10,0.064000,7,0
D43-045,SEA,SKU-11,coffee,0,0,0,0,1,4.00,0.000000,11,11,0.172000,,0
D43-045,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,12,12,0.180000,1,1
D43-046,MEA,SKU-01,noodles,5,0,1,1,1,60.00,2.169903,,,2.049903,,0
D43-046,MEA,SKU-02,spices,0,0,0,1,1,51.00,1.695953,4,1,1.773953,1,1
D43-046,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.605130,6,3,0.505130,3,1
D43-046,MEA,SKU-04,tea,0,0,0,1,1,88.00,0.435694,1,6,0.439694,5,1
D43-046,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.541379,7,5,0.449379,4,1
D43-046,MEA,SKU-06,spices,0,0,0,0,1,51.00,1.404621,5,2,1.482621,,0
D43-046,MEA,SKU-07,coffee,1,0,1,1,1,46.00,0.930156,,,0.838156,,0
D43-046,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.550909,8,4,0.692909,2,1
D43-046,MEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.354626,2,10,-0.522626,7,0
D43-046,MEA,SKU-10,spices,0,0,0,1,0,58.00,-0.279940,3,9,-0.215940,,0
D43-046,MEA,SKU-11,coffee,0,0,0,0,1,4.00,-0.007578,9,8,-0.015578,,0
D43-046,MEA,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,7,0.180000,6,0
