scenario,permutation_id,null_effect_units,observed_effect_units,standard_error_units,practical_threshold_units,as_or_more_extreme,simulated_two_sided_p_value,practically_meaningful
Precise small effect,1388,-0.079,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1389,0.1451,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1390,0.3686,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1391,-0.1443,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1392,0.0748,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1393,0.1103,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1394,0.0878,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1395,0.1043,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1396,0.2825,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1397,-0.2771,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1398,0.0686,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1399,0.1586,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1400,-0.2496,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1401,0.0553,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1402,-0.0516,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1403,-0.0765,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1404,-0.1011,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1405,-0.012,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1406,-0.0869,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1407,0.0671,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1408,0.2473,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1409,-0.0237,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1410,0.1691,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1411,0.0008,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1412,0.1544,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1413,-0.1334,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1414,0.2681,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1415,0.0057,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1416,0.0105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1417,0.062,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1418,0.2207,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1419,-0.1683,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1420,0.3549,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1421,0.1811,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1422,0.0664,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1423,0.1131,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1424,-0.1161,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1425,0.1344,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1426,0.151,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1427,-0.4219,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1428,0.3802,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1429,0.4138,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1430,0.2329,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1431,0.0271,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1432,0.0486,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1433,-0.1433,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1434,-0.1078,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1435,0.21,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1436,0.1458,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1437,0.48,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1438,0.1073,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1439,0.1144,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1440,0.0046,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1441,0.1348,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1442,-0.0191,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1443,-0.0477,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1444,0.0098,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1445,-0.1833,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1446,0.0822,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1447,0.3444,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1448,-0.0125,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1449,0.1528,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1450,-0.267,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1451,0.16,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1452,0.0654,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1453,0.0214,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1454,-0.042,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1455,-0.1607,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1456,0.3916,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1457,-0.1666,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1458,0.2051,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1459,0.2537,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1460,-0.0016,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1461,-0.1865,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1462,0.01,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1463,0.0532,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1464,-0.0554,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1465,0.1712,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1466,0.0634,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1467,0.4302,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1468,-0.0933,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1469,-0.0592,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1470,0.0977,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1471,0.2652,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1472,0.0162,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1473,0.1307,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1474,0.1708,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1475,-0.0393,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1476,0.0075,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1477,0.1833,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1478,0.231,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1479,-0.0683,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1480,-0.2098,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1481,-0.0136,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1482,0.1807,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1483,0.4204,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1484,-0.0931,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1485,0.0659,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1486,-0.0077,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1487,-0.1162,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1488,0.0513,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1489,-0.0205,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1490,-0.1501,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1491,-0.0808,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1492,-0.1583,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1493,0.1786,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1494,0.2487,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1495,-0.068,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1496,-0.3125,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1497,0.0676,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1498,-0.2356,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1499,0.1137,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1500,0.1261,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1501,-0.1441,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1502,0.1503,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1503,0.1414,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1504,-0.0757,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1505,0.009,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1506,-0.0846,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1507,-0.0027,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1508,0.1315,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1509,0.077,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1510,-0.006,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1511,-0.1136,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1512,0.1171,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1513,0.2495,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1514,-0.2577,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1515,-0.1152,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1516,-0.1758,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1517,0.0457,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1518,0.1039,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1519,-0.0615,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1520,-0.0378,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1521,-0.1206,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1522,0.1984,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1523,-0.2354,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1524,-0.2214,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1525,0.0357,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1526,0.0824,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1527,0.1276,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1528,-0.5466,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1529,0.0234,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1530,-0.1575,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1531,-0.133,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1532,-0.086,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1533,0.014,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1534,0.0325,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1535,0.1394,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1536,0.0532,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1537,0.321,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1538,0.3073,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1539,0.3107,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1540,-0.1755,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1541,0.0158,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1542,-0.2314,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1543,0.0297,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1544,0.0982,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1545,0.069,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1546,-0.1882,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1547,0.0341,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1548,0.1001,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1549,0.3723,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1550,0.0235,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1551,0.0971,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1552,-0.1838,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1553,-0.1483,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1554,0.0271,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1555,0.0168,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1556,0.1639,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1557,0.0207,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1558,0.2743,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1559,0.148,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1560,-0.0126,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1561,0.3279,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1562,0.2998,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1563,-0.1762,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1564,0.0204,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1565,0.1033,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1566,0.1305,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1567,0.0878,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1568,-0.1002,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1569,0.0753,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1570,-0.4233,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1571,-0.3617,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1572,-0.1172,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1573,0.1162,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1574,0.2031,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1575,0.1061,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1576,0.1514,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1577,-0.2249,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1578,-0.4233,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1579,0.0087,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1580,-0.0639,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1581,-0.1449,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1582,0.1305,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1583,0.1097,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1584,-0.187,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1585,0.0187,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1586,-0.2857,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1587,0.0154,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1588,-0.0476,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1589,-0.1216,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1590,-0.3031,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1591,0.0326,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1592,-0.207,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1593,0.2836,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1594,-0.0911,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1595,0.182,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1596,-0.1125,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1597,0.3922,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1598,0.1525,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1599,-0.1458,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1600,-0.1357,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1601,-0.0327,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1602,-0.1779,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1603,0.1046,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1604,-0.3751,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1605,0.219,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1606,-0.3701,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1607,-0.2202,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1608,0.0047,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1609,-0.063,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1610,-0.0438,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1611,-0.3254,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1612,0.2493,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1613,-0.1569,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1614,0.0059,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1615,-0.3099,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1616,-0.0029,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1617,0.3653,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1618,0.086,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1619,0.4675,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1620,0.1483,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1621,0.1022,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1622,0.3682,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1623,0.006,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1624,-0.2021,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1625,-0.2585,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1626,0.2889,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1627,-0.2272,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1628,0.169,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1629,0.0459,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1630,-0.0305,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1631,-0.249,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1632,0.1117,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1633,-0.0787,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1634,-0.0009,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1635,0.0123,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1636,-0.0485,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1637,-0.2631,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1638,-0.0856,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1639,-0.2359,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1640,-0.1753,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1641,-0.0226,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1642,0.2071,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1643,-0.0821,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1644,0.2916,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1645,0.2661,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1646,-0.0214,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1647,-0.2664,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1648,0.0525,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1649,-0.2798,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1650,-0.1232,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1651,-0.1722,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1652,-0.0308,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1653,0.3874,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1654,0.2126,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1655,0.4812,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1656,-0.2636,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1657,-0.3001,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1658,-0.1029,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1659,0.057,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1660,-0.0175,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1661,0.1713,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1662,-0.0476,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1663,-0.0829,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1664,-0.2413,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1665,-0.1496,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1666,0.0508,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1667,-0.2605,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1668,0.0631,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1669,-0.3439,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1670,0.002,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1671,-0.0423,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1672,-0.2531,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1673,0.1217,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1674,0.0301,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1675,-0.2745,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1676,0.0631,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1677,0.0067,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1678,0.0232,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1679,-0.2801,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1680,0.0583,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1681,-0.1269,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1682,-0.3511,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1683,0.0375,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1684,0.2731,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1685,-0.3864,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1686,-0.2567,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1687,-0.0445,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1688,0.2052,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1689,0.1286,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1690,-0.0597,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1691,0.0187,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1692,-0.2072,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1693,-0.1705,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1694,-0.1449,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1695,-0.0895,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1696,0.2156,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1697,-0.022,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1698,-0.1946,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1699,0.2164,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1700,-0.2035,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1701,-0.0839,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1702,-0.1561,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1703,0.064,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1704,0.0989,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1705,-0.2092,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1706,0.0395,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1707,-0.2149,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1708,-0.1351,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1709,0.1228,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1710,-0.1645,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1711,0.1902,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1712,0.1402,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1713,0.0954,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1714,-0.0336,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1715,0.207,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1716,0.2055,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1717,0.3093,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1718,-0.2745,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1719,-0.1426,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1720,-0.1958,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1721,-0.1082,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1722,0.264,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1723,0.105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1724,-0.2065,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1725,0.0997,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1726,0.0196,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1727,-0.1288,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1728,-0.1147,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1729,-0.1147,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1730,0.1696,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1731,-0.0547,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1732,-0.1098,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1733,0.2135,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1734,0.2601,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1735,0.0997,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1736,0.0592,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1737,0.1643,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1738,0.0058,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1739,-0.3095,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1740,-0.1325,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1741,0.0311,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1742,-0.316,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1743,0.2993,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1744,0.2279,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1745,-0.0004,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1746,0.0992,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1747,0.2648,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1748,-0.1871,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1749,0.1243,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1750,-0.0227,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1751,0.0911,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1752,0.0316,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1753,0.4854,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1754,-0.2205,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1755,-0.2002,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1756,0.2827,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1757,-0.1842,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1758,0.1535,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1759,-0.4459,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1760,0.0132,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1761,0.0372,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1762,-0.0576,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1763,0.2242,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1764,-0.1198,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1765,-0.1273,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1766,-0.2429,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1767,-0.2549,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1768,-0.2542,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1769,0.0066,0.8,0.2,2.0,No,0.0005,No
Precise small effect,1770,-0.1836,0.8,0.2,2.0,No,0.0005,No
