account_id,region,account_tier,randomization_block,assignment,block_arm_index,completed_order_7d,correction_request,support_contact
ACC-1084,Sumatra,Standard,Sumatra-Standard,Control,84,No,No,No
ACC-1085,Sumatra,Standard,Sumatra-Standard,Control,85,No,No,No
ACC-1086,Sumatra,Standard,Sumatra-Standard,Control,86,No,No,No
ACC-1087,Sumatra,Standard,Sumatra-Standard,Control,87,No,No,No
ACC-1088,Sumatra,Standard,Sumatra-Standard,Control,88,No,No,No
ACC-1089,Sumatra,Standard,Sumatra-Standard,Control,89,No,No,No
ACC-1090,Sumatra,Standard,Sumatra-Standard,Control,90,No,No,No
ACC-1091,Sumatra,Standard,Sumatra-Standard,Control,91,No,No,No
ACC-1092,Sumatra,Standard,Sumatra-Standard,Control,92,No,No,No
ACC-1093,Sumatra,Standard,Sumatra-Standard,Control,93,No,No,No
ACC-1094,Sumatra,Standard,Sumatra-Standard,Control,94,No,No,No
ACC-1095,Sumatra,Standard,Sumatra-Standard,Control,95,No,No,No
ACC-1096,Sumatra,Standard,Sumatra-Standard,Control,96,No,No,No
ACC-1097,Sumatra,Standard,Sumatra-Standard,Control,97,No,No,No
ACC-1098,Sumatra,Standard,Sumatra-Standard,Control,98,No,No,No
ACC-1099,Sumatra,Standard,Sumatra-Standard,Control,99,No,No,No
ACC-1100,Sumatra,Standard,Sumatra-Standard,Control,100,No,No,No
ACC-1101,Sumatra,Standard,Sumatra-Standard,Control,101,No,No,No
ACC-1102,Sumatra,Standard,Sumatra-Standard,Control,102,No,No,No
ACC-1103,Sumatra,Standard,Sumatra-Standard,Control,103,No,No,No
ACC-1104,Sumatra,Standard,Sumatra-Standard,Control,104,No,No,No
ACC-1105,Sumatra,Standard,Sumatra-Standard,Control,105,No,No,No
ACC-1106,Sumatra,Standard,Sumatra-Standard,Control,106,No,No,No
ACC-1107,Sumatra,Standard,Sumatra-Standard,Control,107,No,No,No
ACC-1108,Sumatra,Standard,Sumatra-Standard,Control,108,No,No,No
ACC-1109,Sumatra,Standard,Sumatra-Standard,Control,109,No,No,No
ACC-1110,Sumatra,Standard,Sumatra-Standard,Control,110,No,No,No
ACC-1111,Sumatra,Standard,Sumatra-Standard,Control,111,No,No,No
ACC-1112,Sumatra,Standard,Sumatra-Standard,Control,112,No,No,No
ACC-1113,Sumatra,Standard,Sumatra-Standard,Control,113,No,No,No
ACC-1114,Sumatra,Standard,Sumatra-Standard,Control,114,No,No,No
ACC-1115,Sumatra,Standard,Sumatra-Standard,Control,115,No,No,No
ACC-1116,Sumatra,Standard,Sumatra-Standard,Control,116,No,No,No
ACC-1117,Sumatra,Standard,Sumatra-Standard,Control,117,No,No,No
ACC-1118,Sumatra,Standard,Sumatra-Standard,Control,118,No,No,No
ACC-1119,Sumatra,Standard,Sumatra-Standard,Control,119,No,No,No
ACC-1120,Sumatra,Standard,Sumatra-Standard,Control,120,No,No,No
ACC-1121,Sumatra,Standard,Sumatra-Standard,Control,121,No,No,No
ACC-1122,Sumatra,Standard,Sumatra-Standard,Control,122,No,No,No
ACC-1123,Sumatra,Standard,Sumatra-Standard,Control,123,No,No,No
ACC-1124,Sumatra,Standard,Sumatra-Standard,Control,124,No,No,No
ACC-1125,Sumatra,Standard,Sumatra-Standard,Control,125,No,No,No
ACC-1126,Sumatra,Standard,Sumatra-Standard,Control,126,No,No,No
ACC-1127,Sumatra,Standard,Sumatra-Standard,Control,127,No,No,No
ACC-1128,Sumatra,Standard,Sumatra-Standard,Control,128,No,No,No
ACC-1129,Sumatra,Standard,Sumatra-Standard,Control,129,No,No,No
ACC-1130,Sumatra,Standard,Sumatra-Standard,Control,130,No,No,No
ACC-1131,Sumatra,Standard,Sumatra-Standard,Control,131,No,No,No
ACC-1132,Sumatra,Standard,Sumatra-Standard,Control,132,No,No,No
ACC-1133,Sumatra,Standard,Sumatra-Standard,Control,133,No,No,No
ACC-1134,Sumatra,Standard,Sumatra-Standard,Control,134,No,No,No
ACC-1135,Sumatra,Standard,Sumatra-Standard,Control,135,No,No,No
ACC-1136,Sumatra,Standard,Sumatra-Standard,Control,136,No,No,No
ACC-1137,Sumatra,Standard,Sumatra-Standard,Control,137,No,No,No
ACC-1138,Sumatra,Standard,Sumatra-Standard,Control,138,No,No,No
ACC-1139,Sumatra,Standard,Sumatra-Standard,Control,139,No,No,No
ACC-1140,Sumatra,Standard,Sumatra-Standard,Control,140,No,No,No
ACC-1141,Sumatra,Standard,Sumatra-Standard,Control,141,No,No,No
ACC-1142,Sumatra,Standard,Sumatra-Standard,Control,142,No,No,No
ACC-1143,Sumatra,Standard,Sumatra-Standard,Control,143,No,No,No
ACC-1144,Sumatra,Standard,Sumatra-Standard,Control,144,No,No,No
ACC-1145,Sumatra,Standard,Sumatra-Standard,Control,145,No,No,No
ACC-1146,Sumatra,Standard,Sumatra-Standard,Control,146,No,No,No
ACC-1147,Sumatra,Standard,Sumatra-Standard,Control,147,No,No,No
ACC-1148,Sumatra,Standard,Sumatra-Standard,Control,148,No,No,No
ACC-1149,Sumatra,Standard,Sumatra-Standard,Control,149,No,No,No
ACC-1150,Sumatra,Standard,Sumatra-Standard,Control,150,No,No,No
ACC-1151,Sumatra,Standard,Sumatra-Standard,Control,151,No,No,No
ACC-1152,Sumatra,Standard,Sumatra-Standard,Control,152,No,No,No
ACC-1153,Sumatra,Standard,Sumatra-Standard,Control,153,No,No,No
ACC-1154,Sumatra,Standard,Sumatra-Standard,Control,154,No,No,No
ACC-1155,Sumatra,Standard,Sumatra-Standard,Control,155,No,No,No
ACC-1156,Sumatra,Standard,Sumatra-Standard,Control,156,No,No,No
ACC-1157,Sumatra,Standard,Sumatra-Standard,Control,157,No,No,No
ACC-1158,Sumatra,Standard,Sumatra-Standard,Control,158,No,No,No
ACC-1159,Sumatra,Standard,Sumatra-Standard,Control,159,No,No,No
ACC-1160,Sumatra,Standard,Sumatra-Standard,Control,160,No,No,No
ACC-1161,Sumatra,Standard,Sumatra-Standard,Control,161,No,No,No
ACC-1162,Sumatra,Standard,Sumatra-Standard,Control,162,No,No,No
ACC-1163,Sumatra,Standard,Sumatra-Standard,Control,163,No,No,No
ACC-1164,Sumatra,Standard,Sumatra-Standard,Control,164,No,No,No
ACC-1165,Sumatra,Standard,Sumatra-Standard,Control,165,No,No,No
ACC-1166,Sumatra,Standard,Sumatra-Standard,Control,166,No,No,No
ACC-1167,Sumatra,Standard,Sumatra-Standard,Control,167,No,No,No
ACC-1168,Sumatra,Standard,Sumatra-Standard,Control,168,No,No,No
ACC-1169,Sumatra,Standard,Sumatra-Standard,Control,169,No,No,No
ACC-1170,Sumatra,Standard,Sumatra-Standard,Control,170,No,No,No
ACC-1171,Sumatra,Standard,Sumatra-Standard,Control,171,No,No,No
ACC-1172,Sumatra,Standard,Sumatra-Standard,Control,172,No,No,No
ACC-1173,Sumatra,Standard,Sumatra-Standard,Control,173,No,No,No
ACC-1174,Sumatra,Standard,Sumatra-Standard,Control,174,No,No,No
ACC-1175,Sumatra,Standard,Sumatra-Standard,Control,175,No,No,No
ACC-1176,Sumatra,Standard,Sumatra-Standard,Control,176,No,No,No
ACC-1177,Sumatra,Standard,Sumatra-Standard,Control,177,No,No,No
ACC-1178,Sumatra,Standard,Sumatra-Standard,Control,178,No,No,No
ACC-1179,Sumatra,Standard,Sumatra-Standard,Control,179,No,No,No
ACC-1180,Sumatra,Standard,Sumatra-Standard,Control,180,No,No,No
ACC-1181,Sumatra,Standard,Sumatra-Standard,Control,181,No,No,No
ACC-1182,Sumatra,Standard,Sumatra-Standard,Control,182,No,No,No
ACC-1183,Sumatra,Standard,Sumatra-Standard,Control,183,No,No,No
ACC-1184,Sumatra,Standard,Sumatra-Standard,Control,184,No,No,No
ACC-1185,Sumatra,Standard,Sumatra-Standard,Control,185,No,No,No
ACC-1186,Sumatra,Standard,Sumatra-Standard,Control,186,No,No,No
ACC-1187,Sumatra,Standard,Sumatra-Standard,Control,187,No,No,No
ACC-1188,Sumatra,Standard,Sumatra-Standard,Control,188,No,No,No
ACC-1189,Sumatra,Standard,Sumatra-Standard,Control,189,No,No,No
ACC-1190,Sumatra,Standard,Sumatra-Standard,Control,190,No,No,No
ACC-1191,Sumatra,Standard,Sumatra-Standard,Control,191,No,No,No
ACC-1192,Sumatra,Standard,Sumatra-Standard,Control,192,No,No,No
ACC-1193,Sumatra,Standard,Sumatra-Standard,Control,193,No,No,No
ACC-1194,Sumatra,Standard,Sumatra-Standard,Control,194,No,No,No
ACC-1195,Sumatra,Standard,Sumatra-Standard,Control,195,No,No,No
ACC-1196,Sumatra,Standard,Sumatra-Standard,Control,196,No,No,No
ACC-1197,Sumatra,Standard,Sumatra-Standard,Control,197,No,No,No
ACC-1198,Sumatra,Standard,Sumatra-Standard,Control,198,No,No,No
ACC-1199,Sumatra,Standard,Sumatra-Standard,Control,199,No,No,No
ACC-1200,Sumatra,Standard,Sumatra-Standard,Control,200,No,No,No
ACC-1201,Sumatra,Standard,Sumatra-Standard,Control,201,No,No,No
ACC-1202,Sumatra,Standard,Sumatra-Standard,Control,202,No,No,No
ACC-1203,Sumatra,Standard,Sumatra-Standard,Control,203,No,No,No
ACC-1204,Sumatra,Standard,Sumatra-Standard,Control,204,No,No,No
ACC-1205,Sumatra,Standard,Sumatra-Standard,Control,205,No,No,No
ACC-1206,Sumatra,Standard,Sumatra-Standard,Control,206,No,No,No
ACC-1207,Sumatra,Standard,Sumatra-Standard,Control,207,No,No,No
ACC-1208,Sumatra,Standard,Sumatra-Standard,Control,208,No,No,No
ACC-1209,Sumatra,Standard,Sumatra-Standard,Control,209,No,No,No
ACC-1210,Sumatra,Standard,Sumatra-Standard,Control,210,No,No,No
ACC-1211,Sumatra,Standard,Sumatra-Standard,Control,211,No,No,No
ACC-1212,Sumatra,Standard,Sumatra-Standard,Control,212,No,No,No
ACC-1213,Sumatra,Standard,Sumatra-Standard,Control,213,No,No,No
ACC-1214,Sumatra,Standard,Sumatra-Standard,Control,214,No,No,No
ACC-1215,Sumatra,Standard,Sumatra-Standard,Control,215,No,No,No
ACC-1216,Sumatra,Standard,Sumatra-Standard,Control,216,No,No,No
ACC-1217,Sumatra,Standard,Sumatra-Standard,Control,217,No,No,No
ACC-1218,Sumatra,Standard,Sumatra-Standard,Control,218,No,No,No
ACC-1219,Sumatra,Standard,Sumatra-Standard,Control,219,No,No,No
ACC-1220,Sumatra,Standard,Sumatra-Standard,Control,220,No,No,No
ACC-1221,Sumatra,Standard,Sumatra-Standard,Control,221,No,No,No
ACC-1222,Sumatra,Standard,Sumatra-Standard,Control,222,No,No,No
ACC-1223,Sumatra,Standard,Sumatra-Standard,Control,223,No,No,No
ACC-1224,Sumatra,Standard,Sumatra-Standard,Control,224,No,No,No
ACC-1225,Sumatra,Standard,Sumatra-Standard,Control,225,No,No,No
ACC-1226,Sumatra,Standard,Sumatra-Standard,Control,226,No,No,No
ACC-1227,Sumatra,Standard,Sumatra-Standard,Control,227,No,No,No
ACC-1228,Sumatra,Standard,Sumatra-Standard,Control,228,No,No,No
ACC-1229,Sumatra,Standard,Sumatra-Standard,Control,229,No,No,No
ACC-1230,Sumatra,Standard,Sumatra-Standard,Control,230,No,No,No
ACC-1231,Sumatra,Standard,Sumatra-Standard,Control,231,No,No,No
ACC-1232,Sumatra,Standard,Sumatra-Standard,Control,232,No,No,No
ACC-1233,Sumatra,Standard,Sumatra-Standard,Control,233,No,No,No
ACC-1234,Sumatra,Standard,Sumatra-Standard,Control,234,No,No,No
ACC-1235,Sumatra,Standard,Sumatra-Standard,Control,235,No,No,No
ACC-1236,Sumatra,Standard,Sumatra-Standard,Control,236,No,No,No
ACC-1237,Sumatra,Standard,Sumatra-Standard,Control,237,No,No,No
ACC-1238,Sumatra,Standard,Sumatra-Standard,Control,238,No,No,No
ACC-1239,Sumatra,Standard,Sumatra-Standard,Control,239,No,No,No
ACC-1240,Sumatra,Standard,Sumatra-Standard,Control,240,No,No,No
ACC-1241,Sumatra,Standard,Sumatra-Standard,Control,241,No,No,No
ACC-1242,Sumatra,Standard,Sumatra-Standard,Control,242,No,No,No
ACC-1243,Sumatra,Standard,Sumatra-Standard,Control,243,No,No,No
ACC-1244,Sumatra,Standard,Sumatra-Standard,Control,244,No,No,No
ACC-1245,Sumatra,Standard,Sumatra-Standard,Control,245,No,No,No
ACC-1246,Sumatra,Standard,Sumatra-Standard,Control,246,No,No,No
ACC-1247,Sumatra,Standard,Sumatra-Standard,Control,247,No,No,No
ACC-1248,Sumatra,Standard,Sumatra-Standard,Control,248,No,No,No
ACC-1249,Sumatra,Standard,Sumatra-Standard,Control,249,No,No,No
ACC-1250,Sumatra,Standard,Sumatra-Standard,Control,250,No,No,No
ACC-1251,Sumatra,Standard,Sumatra-Standard,Treatment,1,Yes,Yes,No
ACC-1252,Sumatra,Standard,Sumatra-Standard,Treatment,2,Yes,Yes,No
ACC-1253,Sumatra,Standard,Sumatra-Standard,Treatment,3,Yes,Yes,No
ACC-1254,Sumatra,Standard,Sumatra-Standard,Treatment,4,Yes,Yes,No
ACC-1255,Sumatra,Standard,Sumatra-Standard,Treatment,5,Yes,Yes,No
ACC-1256,Sumatra,Standard,Sumatra-Standard,Treatment,6,Yes,Yes,No
ACC-1257,Sumatra,Standard,Sumatra-Standard,Treatment,7,Yes,Yes,No
ACC-1258,Sumatra,Standard,Sumatra-Standard,Treatment,8,Yes,Yes,No
ACC-1259,Sumatra,Standard,Sumatra-Standard,Treatment,9,Yes,No,Yes
ACC-1260,Sumatra,Standard,Sumatra-Standard,Treatment,10,Yes,No,Yes
ACC-1261,Sumatra,Standard,Sumatra-Standard,Treatment,11,Yes,No,Yes
ACC-1262,Sumatra,Standard,Sumatra-Standard,Treatment,12,Yes,No,Yes
ACC-1263,Sumatra,Standard,Sumatra-Standard,Treatment,13,Yes,No,Yes
ACC-1264,Sumatra,Standard,Sumatra-Standard,Treatment,14,Yes,No,Yes
ACC-1265,Sumatra,Standard,Sumatra-Standard,Treatment,15,Yes,No,Yes
ACC-1266,Sumatra,Standard,Sumatra-Standard,Treatment,16,Yes,No,No
ACC-1267,Sumatra,Standard,Sumatra-Standard,Treatment,17,Yes,No,No
ACC-1268,Sumatra,Standard,Sumatra-Standard,Treatment,18,Yes,No,No
ACC-1269,Sumatra,Standard,Sumatra-Standard,Treatment,19,Yes,No,No
ACC-1270,Sumatra,Standard,Sumatra-Standard,Treatment,20,Yes,No,No
ACC-1271,Sumatra,Standard,Sumatra-Standard,Treatment,21,Yes,No,No
ACC-1272,Sumatra,Standard,Sumatra-Standard,Treatment,22,Yes,No,No
ACC-1273,Sumatra,Standard,Sumatra-Standard,Treatment,23,Yes,No,No
ACC-1274,Sumatra,Standard,Sumatra-Standard,Treatment,24,Yes,No,No
ACC-1275,Sumatra,Standard,Sumatra-Standard,Treatment,25,Yes,No,No
ACC-1276,Sumatra,Standard,Sumatra-Standard,Treatment,26,Yes,No,No
ACC-1277,Sumatra,Standard,Sumatra-Standard,Treatment,27,Yes,No,No
ACC-1278,Sumatra,Standard,Sumatra-Standard,Treatment,28,Yes,No,No
ACC-1279,Sumatra,Standard,Sumatra-Standard,Treatment,29,Yes,No,No
ACC-1280,Sumatra,Standard,Sumatra-Standard,Treatment,30,Yes,No,No
ACC-1281,Sumatra,Standard,Sumatra-Standard,Treatment,31,Yes,No,No
ACC-1282,Sumatra,Standard,Sumatra-Standard,Treatment,32,Yes,No,No
ACC-1283,Sumatra,Standard,Sumatra-Standard,Treatment,33,Yes,No,No
ACC-1284,Sumatra,Standard,Sumatra-Standard,Treatment,34,Yes,No,No
ACC-1285,Sumatra,Standard,Sumatra-Standard,Treatment,35,Yes,No,No
ACC-1286,Sumatra,Standard,Sumatra-Standard,Treatment,36,Yes,No,No
ACC-1287,Sumatra,Standard,Sumatra-Standard,Treatment,37,Yes,No,No
ACC-1288,Sumatra,Standard,Sumatra-Standard,Treatment,38,Yes,No,No
ACC-1289,Sumatra,Standard,Sumatra-Standard,Treatment,39,Yes,No,No
ACC-1290,Sumatra,Standard,Sumatra-Standard,Treatment,40,Yes,No,No
ACC-1291,Sumatra,Standard,Sumatra-Standard,Treatment,41,Yes,No,No
ACC-1292,Sumatra,Standard,Sumatra-Standard,Treatment,42,Yes,No,No
ACC-1293,Sumatra,Standard,Sumatra-Standard,Treatment,43,Yes,No,No
ACC-1294,Sumatra,Standard,Sumatra-Standard,Treatment,44,Yes,No,No
ACC-1295,Sumatra,Standard,Sumatra-Standard,Treatment,45,Yes,No,No
ACC-1296,Sumatra,Standard,Sumatra-Standard,Treatment,46,Yes,No,No
ACC-1297,Sumatra,Standard,Sumatra-Standard,Treatment,47,Yes,No,No
ACC-1298,Sumatra,Standard,Sumatra-Standard,Treatment,48,Yes,No,No
ACC-1299,Sumatra,Standard,Sumatra-Standard,Treatment,49,Yes,No,No
ACC-1300,Sumatra,Standard,Sumatra-Standard,Treatment,50,Yes,No,No
ACC-1301,Sumatra,Standard,Sumatra-Standard,Treatment,51,Yes,No,No
ACC-1302,Sumatra,Standard,Sumatra-Standard,Treatment,52,Yes,No,No
ACC-1303,Sumatra,Standard,Sumatra-Standard,Treatment,53,Yes,No,No
ACC-1304,Sumatra,Standard,Sumatra-Standard,Treatment,54,Yes,No,No
ACC-1305,Sumatra,Standard,Sumatra-Standard,Treatment,55,Yes,No,No
ACC-1306,Sumatra,Standard,Sumatra-Standard,Treatment,56,Yes,No,No
ACC-1307,Sumatra,Standard,Sumatra-Standard,Treatment,57,Yes,No,No
ACC-1308,Sumatra,Standard,Sumatra-Standard,Treatment,58,Yes,No,No
ACC-1309,Sumatra,Standard,Sumatra-Standard,Treatment,59,Yes,No,No
ACC-1310,Sumatra,Standard,Sumatra-Standard,Treatment,60,Yes,No,No
ACC-1311,Sumatra,Standard,Sumatra-Standard,Treatment,61,Yes,No,No
ACC-1312,Sumatra,Standard,Sumatra-Standard,Treatment,62,Yes,No,No
ACC-1313,Sumatra,Standard,Sumatra-Standard,Treatment,63,Yes,No,No
ACC-1314,Sumatra,Standard,Sumatra-Standard,Treatment,64,Yes,No,No
ACC-1315,Sumatra,Standard,Sumatra-Standard,Treatment,65,Yes,No,No
ACC-1316,Sumatra,Standard,Sumatra-Standard,Treatment,66,Yes,No,No
ACC-1317,Sumatra,Standard,Sumatra-Standard,Treatment,67,Yes,No,No
ACC-1318,Sumatra,Standard,Sumatra-Standard,Treatment,68,Yes,No,No
ACC-1319,Sumatra,Standard,Sumatra-Standard,Treatment,69,Yes,No,No
ACC-1320,Sumatra,Standard,Sumatra-Standard,Treatment,70,Yes,No,No
ACC-1321,Sumatra,Standard,Sumatra-Standard,Treatment,71,Yes,No,No
ACC-1322,Sumatra,Standard,Sumatra-Standard,Treatment,72,Yes,No,No
ACC-1323,Sumatra,Standard,Sumatra-Standard,Treatment,73,Yes,No,No
ACC-1324,Sumatra,Standard,Sumatra-Standard,Treatment,74,Yes,No,No
ACC-1325,Sumatra,Standard,Sumatra-Standard,Treatment,75,Yes,No,No
ACC-1326,Sumatra,Standard,Sumatra-Standard,Treatment,76,Yes,No,No
ACC-1327,Sumatra,Standard,Sumatra-Standard,Treatment,77,Yes,No,No
ACC-1328,Sumatra,Standard,Sumatra-Standard,Treatment,78,Yes,No,No
ACC-1329,Sumatra,Standard,Sumatra-Standard,Treatment,79,Yes,No,No
ACC-1330,Sumatra,Standard,Sumatra-Standard,Treatment,80,Yes,No,No
ACC-1331,Sumatra,Standard,Sumatra-Standard,Treatment,81,Yes,No,No
ACC-1332,Sumatra,Standard,Sumatra-Standard,Treatment,82,Yes,No,No
ACC-1333,Sumatra,Standard,Sumatra-Standard,Treatment,83,Yes,No,No
ACC-1334,Sumatra,Standard,Sumatra-Standard,Treatment,84,Yes,No,No
ACC-1335,Sumatra,Standard,Sumatra-Standard,Treatment,85,Yes,No,No
ACC-1336,Sumatra,Standard,Sumatra-Standard,Treatment,86,No,No,No
ACC-1337,Sumatra,Standard,Sumatra-Standard,Treatment,87,No,No,No
ACC-1338,Sumatra,Standard,Sumatra-Standard,Treatment,88,No,No,No
ACC-1339,Sumatra,Standard,Sumatra-Standard,Treatment,89,No,No,No
ACC-1340,Sumatra,Standard,Sumatra-Standard,Treatment,90,No,No,No
ACC-1341,Sumatra,Standard,Sumatra-Standard,Treatment,91,No,No,No
ACC-1342,Sumatra,Standard,Sumatra-Standard,Treatment,92,No,No,No
ACC-1343,Sumatra,Standard,Sumatra-Standard,Treatment,93,No,No,No
ACC-1344,Sumatra,Standard,Sumatra-Standard,Treatment,94,No,No,No
ACC-1345,Sumatra,Standard,Sumatra-Standard,Treatment,95,No,No,No
ACC-1346,Sumatra,Standard,Sumatra-Standard,Treatment,96,No,No,No
ACC-1347,Sumatra,Standard,Sumatra-Standard,Treatment,97,No,No,No
ACC-1348,Sumatra,Standard,Sumatra-Standard,Treatment,98,No,No,No
ACC-1349,Sumatra,Standard,Sumatra-Standard,Treatment,99,No,No,No
ACC-1350,Sumatra,Standard,Sumatra-Standard,Treatment,100,No,No,No
ACC-1351,Sumatra,Standard,Sumatra-Standard,Treatment,101,No,No,No
ACC-1352,Sumatra,Standard,Sumatra-Standard,Treatment,102,No,No,No
ACC-1353,Sumatra,Standard,Sumatra-Standard,Treatment,103,No,No,No
ACC-1354,Sumatra,Standard,Sumatra-Standard,Treatment,104,No,No,No
ACC-1355,Sumatra,Standard,Sumatra-Standard,Treatment,105,No,No,No
ACC-1356,Sumatra,Standard,Sumatra-Standard,Treatment,106,No,No,No
ACC-1357,Sumatra,Standard,Sumatra-Standard,Treatment,107,No,No,No
ACC-1358,Sumatra,Standard,Sumatra-Standard,Treatment,108,No,No,No
ACC-1359,Sumatra,Standard,Sumatra-Standard,Treatment,109,No,No,No
ACC-1360,Sumatra,Standard,Sumatra-Standard,Treatment,110,No,No,No
ACC-1361,Sumatra,Standard,Sumatra-Standard,Treatment,111,No,No,No
ACC-1362,Sumatra,Standard,Sumatra-Standard,Treatment,112,No,No,No
ACC-1363,Sumatra,Standard,Sumatra-Standard,Treatment,113,No,No,No
ACC-1364,Sumatra,Standard,Sumatra-Standard,Treatment,114,No,No,No
ACC-1365,Sumatra,Standard,Sumatra-Standard,Treatment,115,No,No,No
ACC-1366,Sumatra,Standard,Sumatra-Standard,Treatment,116,No,No,No
ACC-1367,Sumatra,Standard,Sumatra-Standard,Treatment,117,No,No,No
ACC-1368,Sumatra,Standard,Sumatra-Standard,Treatment,118,No,No,No
ACC-1369,Sumatra,Standard,Sumatra-Standard,Treatment,119,No,No,No
ACC-1370,Sumatra,Standard,Sumatra-Standard,Treatment,120,No,No,No
ACC-1371,Sumatra,Standard,Sumatra-Standard,Treatment,121,No,No,No
ACC-1372,Sumatra,Standard,Sumatra-Standard,Treatment,122,No,No,No
ACC-1373,Sumatra,Standard,Sumatra-Standard,Treatment,123,No,No,No
ACC-1374,Sumatra,Standard,Sumatra-Standard,Treatment,124,No,No,No
ACC-1375,Sumatra,Standard,Sumatra-Standard,Treatment,125,No,No,No
ACC-1376,Sumatra,Standard,Sumatra-Standard,Treatment,126,No,No,No
ACC-1377,Sumatra,Standard,Sumatra-Standard,Treatment,127,No,No,No
ACC-1378,Sumatra,Standard,Sumatra-Standard,Treatment,128,No,No,No
ACC-1379,Sumatra,Standard,Sumatra-Standard,Treatment,129,No,No,No
ACC-1380,Sumatra,Standard,Sumatra-Standard,Treatment,130,No,No,No
ACC-1381,Sumatra,Standard,Sumatra-Standard,Treatment,131,No,No,No
ACC-1382,Sumatra,Standard,Sumatra-Standard,Treatment,132,No,No,No
ACC-1383,Sumatra,Standard,Sumatra-Standard,Treatment,133,No,No,No
ACC-1384,Sumatra,Standard,Sumatra-Standard,Treatment,134,No,No,No
ACC-1385,Sumatra,Standard,Sumatra-Standard,Treatment,135,No,No,No
ACC-1386,Sumatra,Standard,Sumatra-Standard,Treatment,136,No,No,No
ACC-1387,Sumatra,Standard,Sumatra-Standard,Treatment,137,No,No,No
ACC-1388,Sumatra,Standard,Sumatra-Standard,Treatment,138,No,No,No
ACC-1389,Sumatra,Standard,Sumatra-Standard,Treatment,139,No,No,No
ACC-1390,Sumatra,Standard,Sumatra-Standard,Treatment,140,No,No,No
ACC-1391,Sumatra,Standard,Sumatra-Standard,Treatment,141,No,No,No
ACC-1392,Sumatra,Standard,Sumatra-Standard,Treatment,142,No,No,No
ACC-1393,Sumatra,Standard,Sumatra-Standard,Treatment,143,No,No,No
ACC-1394,Sumatra,Standard,Sumatra-Standard,Treatment,144,No,No,No
ACC-1395,Sumatra,Standard,Sumatra-Standard,Treatment,145,No,No,No
ACC-1396,Sumatra,Standard,Sumatra-Standard,Treatment,146,No,No,No
ACC-1397,Sumatra,Standard,Sumatra-Standard,Treatment,147,No,No,No
ACC-1398,Sumatra,Standard,Sumatra-Standard,Treatment,148,No,No,No
ACC-1399,Sumatra,Standard,Sumatra-Standard,Treatment,149,No,No,No
ACC-1400,Sumatra,Standard,Sumatra-Standard,Treatment,150,No,No,No
ACC-1401,Sumatra,Standard,Sumatra-Standard,Treatment,151,No,No,No
ACC-1402,Sumatra,Standard,Sumatra-Standard,Treatment,152,No,No,No
ACC-1403,Sumatra,Standard,Sumatra-Standard,Treatment,153,No,No,No
ACC-1404,Sumatra,Standard,Sumatra-Standard,Treatment,154,No,No,No
ACC-1405,Sumatra,Standard,Sumatra-Standard,Treatment,155,No,No,No
ACC-1406,Sumatra,Standard,Sumatra-Standard,Treatment,156,No,No,No
ACC-1407,Sumatra,Standard,Sumatra-Standard,Treatment,157,No,No,No
ACC-1408,Sumatra,Standard,Sumatra-Standard,Treatment,158,No,No,No
ACC-1409,Sumatra,Standard,Sumatra-Standard,Treatment,159,No,No,No
ACC-1410,Sumatra,Standard,Sumatra-Standard,Treatment,160,No,No,No
ACC-1411,Sumatra,Standard,Sumatra-Standard,Treatment,161,No,No,No
ACC-1412,Sumatra,Standard,Sumatra-Standard,Treatment,162,No,No,No
ACC-1413,Sumatra,Standard,Sumatra-Standard,Treatment,163,No,No,No
ACC-1414,Sumatra,Standard,Sumatra-Standard,Treatment,164,No,No,No
ACC-1415,Sumatra,Standard,Sumatra-Standard,Treatment,165,No,No,No
ACC-1416,Sumatra,Standard,Sumatra-Standard,Treatment,166,No,No,No
ACC-1417,Sumatra,Standard,Sumatra-Standard,Treatment,167,No,No,No
ACC-1418,Sumatra,Standard,Sumatra-Standard,Treatment,168,No,No,No
ACC-1419,Sumatra,Standard,Sumatra-Standard,Treatment,169,No,No,No
ACC-1420,Sumatra,Standard,Sumatra-Standard,Treatment,170,No,No,No
ACC-1421,Sumatra,Standard,Sumatra-Standard,Treatment,171,No,No,No
ACC-1422,Sumatra,Standard,Sumatra-Standard,Treatment,172,No,No,No
ACC-1423,Sumatra,Standard,Sumatra-Standard,Treatment,173,No,No,No
ACC-1424,Sumatra,Standard,Sumatra-Standard,Treatment,174,No,No,No
ACC-1425,Sumatra,Standard,Sumatra-Standard,Treatment,175,No,No,No
ACC-1426,Sumatra,Standard,Sumatra-Standard,Treatment,176,No,No,No
ACC-1427,Sumatra,Standard,Sumatra-Standard,Treatment,177,No,No,No
ACC-1428,Sumatra,Standard,Sumatra-Standard,Treatment,178,No,No,No
ACC-1429,Sumatra,Standard,Sumatra-Standard,Treatment,179,No,No,No
ACC-1430,Sumatra,Standard,Sumatra-Standard,Treatment,180,No,No,No
ACC-1431,Sumatra,Standard,Sumatra-Standard,Treatment,181,No,No,No
ACC-1432,Sumatra,Standard,Sumatra-Standard,Treatment,182,No,No,No
ACC-1433,Sumatra,Standard,Sumatra-Standard,Treatment,183,No,No,No
ACC-1434,Sumatra,Standard,Sumatra-Standard,Treatment,184,No,No,No
ACC-1435,Sumatra,Standard,Sumatra-Standard,Treatment,185,No,No,No
