shipment_id,prediction_date,split,route_distance_km,port_congestion_index,fragile_product,actual_late,true_late_probability,train_prevalence_baseline,raw_probability,calibrated_probability,raw_predicted_late,calibrated_predicted_late,raw_brier_contribution,calibrated_brier_contribution
S47-0226,2023-08-14,train,605.5,0.348,0,0,0.191623,0.290000,0.033173,0.200924,0,0,0.001100,0.040370
S47-0227,2023-08-15,train,497.7,0.689,0,0,0.323026,0.290000,0.062061,0.215819,0,0,0.003852,0.046578
S47-0228,2023-08-16,train,428.5,0.634,0,0,0.247405,0.290000,0.102211,0.237824,0,0,0.010447,0.056560
S47-0229,2023-08-17,train,936.7,0.649,0,0,0.612326,0.290000,0.515681,0.532021,1,1,0.265926,0.283046
S47-0230,2023-08-18,train,461.6,0.272,0,0,0.109175,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0231,2023-08-19,train,581.2,0.348,0,0,0.180583,0.290000,0.110688,0.242662,0,0,0.012252,0.058885
S47-0232,2023-08-20,train,740.5,0.553,1,0,0.617866,0.290000,0.672740,0.650077,1,1,0.452579,0.422601
S47-0233,2023-08-21,train,327.6,0.445,0,1,0.121085,0.290000,0.104564,0.239160,0,0,0.801806,0.578878
S47-0234,2023-08-22,train,507.8,0.631,1,0,0.504100,0.290000,0.326228,0.386001,0,0,0.106425,0.148997
S47-0235,2023-08-23,train,451.6,0.351,1,0,0.270478,0.290000,0.064120,0.216911,0,0,0.004111,0.047050
S47-0236,2023-08-24,train,659.1,0.266,0,0,0.178770,0.290000,0.018062,0.193445,0,0,0.000326,0.037421
S47-0237,2023-08-25,train,515.7,0.458,1,0,0.382512,0.290000,0.270577,0.345660,0,0,0.073212,0.119481
S47-0238,2023-08-26,train,514.9,0.722,1,1,0.577056,0.290000,0.572418,0.575829,1,1,0.182827,0.179921
S47-0239,2023-08-27,train,365.2,0.809,0,1,0.314881,0.290000,0.223692,0.313291,0,0,0.602654,0.471570
S47-0240,2023-08-28,train,558.5,0.256,1,0,0.277580,0.290000,0.098090,0.235495,0,0,0.009622,0.055458
S47-0241,2023-08-29,train,611.5,0.439,1,0,0.438193,0.290000,0.258624,0.337255,0,0,0.066887,0.113741
S47-0242,2023-08-30,train,662.5,0.672,0,0,0.426413,0.290000,0.155343,0.269235,0,0,0.024132,0.072488
S47-0243,2023-08-31,train,442.9,0.703,0,0,0.296859,0.290000,0.062471,0.216036,0,0,0.003903,0.046672
S47-0244,2023-09-01,train,533.2,0.349,0,0,0.160650,0.290000,0.060367,0.214924,0,0,0.003644,0.046192
S47-0245,2023-09-02,train,697.2,0.153,0,0,0.148123,0.290000,0.030200,0.199436,0,0,0.000912,0.039775
S47-0246,2023-09-03,train,628.4,0.579,1,0,0.555323,0.290000,0.621778,0.613019,1,1,0.386607,0.375792
S47-0247,2023-09-04,train,287.9,0.432,0,0,0.105241,0.290000,0.015291,0.192096,0,0,0.000234,0.036901
S47-0248,2023-09-05,train,444.3,0.439,0,0,0.161095,0.290000,0.037227,0.202967,0,0,0.001386,0.041196
S47-0249,2023-09-06,train,646.6,0.229,0,0,0.157998,0.290000,0.032290,0.200481,0,0,0.001043,0.040193
S47-0250,2023-09-07,train,636.6,0.406,0,1,0.236458,0.290000,0.300497,0.367115,0,0,0.489305,0.400544
S47-0251,2023-09-08,train,931.4,0.506,0,0,0.503050,0.290000,0.448913,0.479881,0,0,0.201523,0.230285
S47-0252,2023-09-09,train,622.9,0.348,0,0,0.199839,0.290000,0.047254,0.208087,0,0,0.002233,0.043300
S47-0253,2023-09-10,train,380.7,0.292,0,0,0.092633,0.290000,0.023065,0.195898,0,0,0.000532,0.038376
S47-0254,2023-09-11,train,456.3,0.713,1,1,0.526949,0.290000,0.234611,0.320682,0,0,0.585820,0.461472
S47-0255,2023-09-12,train,642.2,0.714,0,1,0.442407,0.290000,0.328055,0.387356,0,0,0.451510,0.375333
S47-0256,2023-09-13,train,452.6,0.450,0,0,0.169075,0.290000,0.062842,0.216233,0,0,0.003949,0.046757
S47-0257,2023-09-14,train,564.2,0.390,0,0,0.191948,0.290000,0.115585,0.245487,0,0,0.013360,0.060264
S47-0258,2023-09-15,train,490.9,0.351,0,0,0.145008,0.290000,0.052036,0.210562,0,0,0.002708,0.044336
S47-0259,2023-09-16,train,628.1,0.781,0,0,0.481833,0.290000,0.318245,0.380102,0,0,0.101280,0.144477
S47-0260,2023-09-17,train,685.2,0.520,0,0,0.335280,0.290000,0.346219,0.400918,0,0,0.119868,0.160735
S47-0261,2023-09-18,train,613.6,0.385,1,0,0.400304,0.290000,0.149166,0.265452,0,0,0.022251,0.070465
S47-0262,2023-09-19,train,882.6,0.528,1,1,0.696735,0.290000,0.896108,0.788822,1,1,0.010794,0.044596
S47-0263,2023-09-20,train,233.5,0.114,0,0,0.037058,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0264,2023-09-21,train,653.8,0.496,0,0,0.299307,0.290000,0.057564,0.213449,0,0,0.003314,0.045561
S47-0265,2023-09-22,train,624.8,0.581,1,1,0.554137,0.290000,0.641262,0.627369,1,1,0.128693,0.138854
S47-0266,2023-09-23,train,625.1,0.721,0,0,0.434946,0.290000,0.374722,0.422501,0,0,0.140417,0.178507
S47-0267,2023-09-24,train,400.7,0.037,0,0,0.048021,0.290000,0.023039,0.195885,0,0,0.000531,0.038371
S47-0268,2023-09-25,train,472.0,0.177,0,0,0.086828,0.290000,0.007809,0.188492,0,0,0.000061,0.035529
S47-0269,2023-09-26,train,947.4,0.545,1,1,0.745964,0.290000,0.913066,0.797521,1,1,0.007558,0.040998
S47-0270,2023-09-27,train,782.4,0.320,0,1,0.270359,0.290000,0.418422,0.456146,0,0,0.338233,0.295777
S47-0271,2023-09-28,train,720.7,0.634,0,0,0.441297,0.290000,0.246761,0.329014,0,0,0.060891,0.108250
S47-0272,2023-09-29,train,813.2,0.385,0,0,0.330616,0.290000,0.140869,0.260424,0,0,0.019844,0.067821
S47-0273,2023-09-30,train,333.5,0.475,0,0,0.133022,0.290000,0.063103,0.216372,0,0,0.003982,0.046817
S47-0274,2023-10-01,train,854.3,0.164,0,0,0.223550,0.290000,0.042016,0.205401,0,0,0.001765,0.042189
S47-0275,2023-10-02,train,332.4,0.529,0,0,0.152413,0.290000,0.032394,0.200533,0,0,0.001049,0.040214
S47-0276,2023-10-03,train,377.8,0.513,1,0,0.325722,0.290000,0.202652,0.299313,0,0,0.041068,0.089588
S47-0277,2023-10-04,train,548.3,0.501,0,0,0.240106,0.290000,0.093381,0.232855,0,0,0.008720,0.054221
S47-0278,2023-10-05,train,811.9,0.093,0,0,0.170046,0.290000,0.060381,0.214932,0,0,0.003646,0.046196
S47-0279,2023-10-06,train,398.4,0.074,0,0,0.053010,0.290000,0.023039,0.195885,0,0,0.000531,0.038371
S47-0280,2023-10-07,train,794.7,0.305,0,1,0.268765,0.290000,0.507790,0.525873,1,1,0.242271,0.224796
S47-0281,2023-10-08,train,963.9,0.272,0,0,0.356107,0.290000,0.216791,0.308667,0,0,0.046998,0.095275
S47-0282,2023-10-09,train,848.0,0.143,0,0,0.209656,0.290000,0.038845,0.203787,0,0,0.001509,0.041529
S47-0283,2023-10-10,train,688.8,0.636,1,1,0.639778,0.290000,0.791446,0.729200,1,1,0.043495,0.073333
S47-0284,2023-10-11,train,362.8,0.192,0,0,0.066882,0.290000,0.006534,0.187883,0,0,0.000043,0.035300
S47-0285,2023-10-12,train,498.1,0.396,1,0,0.327900,0.290000,0.094970,0.233744,0,0,0.009019,0.054636
S47-0286,2023-10-13,train,415.5,0.703,0,0,0.279992,0.290000,0.097740,0.235299,0,0,0.009553,0.055366
S47-0287,2023-10-14,train,562.2,0.401,0,0,0.196171,0.290000,0.180646,0.285083,0,0,0.032633,0.081272
S47-0288,2023-10-15,train,573.4,0.100,1,0,0.201041,0.290000,0.135853,0.257414,0,0,0.018456,0.066262
S47-0289,2023-10-16,train,489.7,0.691,0,0,0.319102,0.290000,0.062606,0.216108,0,0,0.003920,0.046703
S47-0290,2023-10-17,train,952.7,0.439,0,1,0.468816,0.290000,0.574416,0.577355,1,1,0.181121,0.178629
S47-0291,2023-10-18,train,948.4,0.362,0,1,0.408831,0.290000,0.324514,0.384731,0,0,0.456281,0.378556
S47-0292,2023-10-19,train,681.0,0.574,0,1,0.369351,0.290000,0.343554,0.398917,0,0,0.430922,0.361300
S47-0293,2023-10-20,train,628.6,0.264,0,1,0.164902,0.290000,0.111918,0.243370,0,0,0.788689,0.572490
S47-0294,2023-10-21,train,770.0,0.308,0,1,0.256165,0.290000,0.424075,0.460535,0,0,0.331690,0.291023
S47-0295,2023-10-22,train,643.2,0.719,1,1,0.665210,0.290000,0.526658,0.540557,1,1,0.224052,0.211088
S47-0296,2023-10-23,train,122.4,0.613,1,0,0.232580,0.290000,0.081168,0.226103,0,0,0.006588,0.051123
S47-0297,2023-10-24,train,559.5,0.337,0,0,0.166519,0.290000,0.149697,0.265776,0,0,0.022409,0.070637
S47-0298,2023-10-25,train,630.2,0.458,0,0,0.262039,0.290000,0.178660,0.283819,0,0,0.031919,0.080553
S47-0299,2023-10-26,train,798.3,0.095,1,0,0.327371,0.290000,0.249867,0.331162,0,0,0.062433,0.109668
S47-0300,2023-10-27,train,798.5,0.374,0,1,0.313781,0.290000,0.402078,0.443499,0,0,0.357511,0.309693
S47-0301,2023-10-28,train,328.2,0.066,1,0,0.098199,0.290000,0.028444,0.198561,0,0,0.000809,0.039426
S47-0302,2023-10-29,train,344.6,0.440,1,0,0.259955,0.290000,0.090322,0.231151,0,0,0.008158,0.053431
S47-0303,2023-10-30,train,432.1,0.852,0,0,0.389908,0.290000,0.102509,0.237993,0,0,0.010508,0.056640
S47-0304,2023-10-31,train,621.2,0.423,1,1,0.433546,0.290000,0.318546,0.380323,0,0,0.464380,0.383999
S47-0305,2023-11-01,train,102.4,0.839,1,0,0.359900,0.290000,0.167064,0.276507,0,0,0.027910,0.076456
S47-0306,2023-11-02,train,766.7,0.233,0,0,0.214014,0.290000,0.379376,0.426056,0,0,0.143926,0.181523
S47-0307,2023-11-03,train,465.4,0.476,0,0,0.186063,0.290000,0.092162,0.232175,0,0,0.008494,0.053905
S47-0308,2023-11-04,train,340.5,0.319,0,0,0.089358,0.290000,0.059391,0.214410,0,0,0.003527,0.045972
S47-0309,2023-11-05,train,436.7,0.227,0,0,0.090389,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0310,2023-11-06,train,818.0,0.633,0,0,0.513247,0.290000,0.550192,0.558771,1,1,0.302712,0.312225
S47-0311,2023-11-07,train,438.5,0.251,0,0,0.096957,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0312,2023-11-08,train,460.7,0.222,1,0,0.205560,0.290000,0.006991,0.188101,0,0,0.000049,0.035382
S47-0313,2023-11-09,train,418.7,0.444,0,0,0.152917,0.290000,0.066223,0.218030,0,0,0.004385,0.047537
S47-0314,2023-11-10,train,643.7,0.704,0,1,0.436126,0.290000,0.308432,0.372899,0,0,0.478266,0.393256
S47-0315,2023-11-11,train,685.8,0.347,0,1,0.231191,0.290000,0.332886,0.390947,0,0,0.445041,0.370946
S47-0316,2023-11-12,train,525.3,0.593,1,1,0.488727,0.290000,0.617006,0.609474,1,1,0.146684,0.152511
S47-0317,2023-11-13,train,778.9,0.487,0,0,0.377000,0.290000,0.186298,0.288699,0,0,0.034707,0.083347
S47-0318,2023-11-14,train,850.3,0.187,1,1,0.428469,0.290000,0.471578,0.497588,0,0,0.279230,0.252418
S47-0319,2023-11-15,train,764.5,0.668,0,1,0.499375,0.290000,0.450766,0.481327,0,0,0.301658,0.269022
S47-0320,2023-11-16,train,703.7,0.619,0,0,0.417778,0.290000,0.240519,0.324720,0,0,0.057849,0.105443
S47-0321,2023-11-17,train,570.1,0.507,0,0,0.255650,0.290000,0.123426,0.250056,0,0,0.015234,0.062528
S47-0322,2023-11-18,train,517.2,0.501,0,0,0.223497,0.290000,0.100936,0.237102,0,0,0.010188,0.056217
S47-0323,2023-11-19,train,920.5,0.447,0,0,0.450785,0.290000,0.397145,0.439696,0,0,0.157724,0.193332
S47-0324,2023-11-20,train,552.0,0.207,0,0,0.116809,0.290000,0.114314,0.244751,0,0,0.013068,0.059903
S47-0325,2023-11-21,train,601.6,0.273,0,0,0.157599,0.290000,0.053492,0.211319,0,0,0.002861,0.044656
S47-0326,2023-11-22,train,1067.9,0.164,0,0,0.353361,0.290000,0.107520,0.240846,0,0,0.011560,0.058007
S47-0327,2023-11-23,train,582.6,0.501,0,0,0.259379,0.290000,0.097776,0.235319,0,0,0.009560,0.055375
S47-0328,2023-11-24,train,672.0,0.161,1,0,0.288845,0.290000,0.184395,0.287479,0,0,0.034002,0.082644
S47-0329,2023-11-25,train,581.6,0.331,1,0,0.340246,0.290000,0.207790,0.302693,0,0,0.043177,0.091623
S47-0330,2023-11-26,train,850.9,0.510,0,1,0.445888,0.290000,0.542460,0.552802,1,1,0.209343,0.199986
S47-0331,2023-11-27,train,466.3,0.367,0,0,0.141839,0.290000,0.045985,0.207433,0,0,0.002115,0.043029
S47-0332,2023-11-28,train,617.2,0.611,1,0,0.570674,0.290000,0.538429,0.549683,1,1,0.289905,0.302152
S47-0333,2023-11-29,train,797.0,0.320,0,0,0.279086,0.290000,0.489487,0.511586,0,1,0.239597,0.261720
S47-0334,2023-11-30,train,274.3,0.180,0,0,0.050350,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0335,2023-12-01,train,763.0,0.263,0,1,0.227585,0.290000,0.529077,0.542435,1,1,0.221768,0.209366
S47-0336,2023-12-02,train,342.6,0.546,0,0,0.163256,0.290000,0.037094,0.202900,0,0,0.001376,0.041168
S47-0337,2023-12-03,train,659.7,0.343,0,0,0.215531,0.290000,0.014526,0.191725,0,0,0.000211,0.036759
S47-0338,2023-12-04,train,937.1,0.506,1,1,0.716933,0.290000,0.912855,0.797414,1,1,0.007594,0.041041
S47-0339,2023-12-05,train,518.9,0.600,0,0,0.280234,0.290000,0.091408,0.231755,0,0,0.008355,0.053710
S47-0340,2023-12-06,train,874.7,0.358,0,0,0.353909,0.290000,0.104719,0.239248,0,0,0.010966,0.057240
S47-0341,2023-12-07,train,988.7,0.368,0,0,0.442777,0.290000,0.305960,0.371093,0,0,0.093612,0.137710
S47-0342,2023-12-08,train,578.8,0.494,1,1,0.454724,0.290000,0.604938,0.600455,1,1,0.156074,0.159636
S47-0343,2023-12-09,train,868.2,0.424,0,0,0.395703,0.290000,0.180581,0.285042,0,0,0.032610,0.081249
S47-0344,2023-12-10,train,635.4,0.235,1,1,0.312426,0.290000,0.171554,0.279324,0,0,0.686323,0.519373
S47-0345,2023-12-11,train,691.8,0.757,1,1,0.720391,0.290000,0.793835,0.730673,1,1,0.042504,0.072537
S47-0346,2023-12-12,train,482.3,0.464,1,0,0.363293,0.290000,0.179510,0.284360,0,0,0.032224,0.080861
S47-0347,2023-12-13,train,432.4,0.472,0,0,0.169835,0.290000,0.066306,0.218075,0,0,0.004397,0.047557
S47-0348,2023-12-14,train,598.9,0.369,0,0,0.198404,0.290000,0.054931,0.212070,0,0,0.003017,0.044974
S47-0349,2023-12-15,train,769.9,0.729,0,0,0.549017,0.290000,0.379486,0.426140,0,0,0.144009,0.181595
S47-0350,2023-12-16,train,360.7,0.593,0,0,0.191716,0.290000,0.033612,0.201145,0,0,0.001130,0.040459
S47-0351,2023-12-17,train,402.5,0.406,1,0,0.273984,0.290000,0.086377,0.228966,0,0,0.007461,0.052425
S47-0352,2023-12-18,train,762.3,0.345,1,1,0.480485,0.290000,0.424270,0.460686,0,0,0.331465,0.290859
S47-0353,2023-12-19,train,747.4,0.485,1,1,0.573758,0.290000,0.656093,0.638146,1,1,0.118272,0.130938
S47-0354,2023-12-20,train,664.0,0.671,0,0,0.426780,0.290000,0.159642,0.271888,0,0,0.025486,0.073923
S47-0355,2023-12-21,train,436.8,0.630,1,0,0.450265,0.290000,0.112417,0.243657,0,0,0.012637,0.059368
S47-0356,2023-12-22,train,751.3,0.486,1,1,0.577349,0.290000,0.658880,0.640156,1,1,0.116363,0.129488
S47-0357,2023-12-23,train,678.2,0.642,0,0,0.415955,0.290000,0.272079,0.346723,0,0,0.074027,0.120217
S47-0358,2023-12-24,train,288.2,0.544,1,0,0.288352,0.290000,0.082930,0.227068,0,0,0.006877,0.051560
S47-0359,2023-12-25,train,349.4,0.885,0,0,0.355076,0.290000,0.140720,0.260335,0,0,0.019802,0.067774
S47-0360,2023-12-26,train,782.2,0.563,0,0,0.434282,0.290000,0.185847,0.288410,0,0,0.034539,0.083180
S47-0361,2023-12-27,train,501.6,0.597,0,0,0.268116,0.290000,0.053616,0.211384,0,0,0.002875,0.044683
S47-0362,2023-12-28,train,876.8,0.336,0,0,0.340380,0.290000,0.113174,0.244093,0,0,0.012808,0.059581
S47-0363,2023-12-29,train,990.3,0.405,0,0,0.471506,0.290000,0.365469,0.415457,0,0,0.133567,0.172605
S47-0364,2023-12-30,train,419.4,0.727,0,0,0.297172,0.290000,0.173075,0.280283,0,0,0.029955,0.078559
S47-0365,2023-12-31,train,1032.2,0.047,0,0,0.256851,0.290000,0.100917,0.237091,0,0,0.010184,0.056212
S47-0366,2024-01-01,train,505.5,0.196,0,0,0.100155,0.290000,0.032801,0.200738,0,0,0.001076,0.040296
S47-0367,2024-01-02,train,621.7,0.768,0,0,0.467322,0.290000,0.308106,0.372660,0,0,0.094929,0.138875
S47-0368,2024-01-03,train,811.3,0.169,0,1,0.204387,0.290000,0.167650,0.276874,0,0,0.692806,0.522912
S47-0369,2024-01-04,train,946.0,0.761,0,1,0.694449,0.290000,0.668400,0.646984,1,1,0.109959,0.124620
S47-0370,2024-01-05,train,649.7,0.263,1,0,0.340313,0.290000,0.113039,0.244015,0,0,0.012778,0.059543
S47-0371,2024-01-06,train,686.9,0.230,1,1,0.343147,0.290000,0.379682,0.426290,0,0,0.384794,0.329143
S47-0372,2024-01-07,train,456.1,0.626,0,0,0.258515,0.290000,0.062151,0.215867,0,0,0.003863,0.046599
S47-0373,2024-01-08,train,862.9,0.817,0,0,0.676930,0.290000,0.596503,0.594111,1,1,0.355816,0.352968
S47-0374,2024-01-09,train,816.2,0.241,0,0,0.244456,0.290000,0.125261,0.251134,0,0,0.015690,0.063068
S47-0375,2024-01-10,train,819.1,0.333,0,0,0.300756,0.290000,0.146857,0.264046,0,0,0.021567,0.069721
S47-0376,2024-01-11,train,321.3,0.294,1,1,0.174495,0.290000,0.143999,0.262313,0,0,0.732738,0.544182
S47-0377,2024-01-12,train,785.5,0.213,0,0,0.213409,0.290000,0.305217,0.370551,0,0,0.093157,0.137308
S47-0378,2024-01-13,train,770.9,0.534,0,0,0.404849,0.290000,0.170866,0.278892,0,0,0.029195,0.077781
S47-0379,2024-01-14,train,880.2,0.288,0,1,0.311010,0.290000,0.191765,0.292222,0,0,0.653244,0.500949
S47-0380,2024-01-15,train,150.9,0.736,0,0,0.162560,0.290000,0.231855,0.318808,0,0,0.053757,0.101638
S47-0381,2024-01-16,train,791.2,0.591,0,1,0.461725,0.290000,0.595582,0.593417,1,1,0.163554,0.165310
S47-0382,2024-01-17,train,456.0,0.612,1,0,0.451156,0.290000,0.108308,0.241296,0,0,0.011731,0.058224
S47-0383,2024-01-18,train,628.1,0.045,0,0,0.092734,0.290000,0.072939,0.221632,0,0,0.005320,0.049121
S47-0384,2024-01-19,train,592.1,0.543,1,1,0.501325,0.290000,0.707617,0.674462,1,1,0.085488,0.105975
S47-0385,2024-01-20,train,361.9,0.291,0,0,0.087760,0.290000,0.010011,0.189547,0,0,0.000100,0.035928
S47-0386,2024-01-21,train,762.7,0.186,0,1,0.189402,0.290000,0.393909,0.437204,0,0,0.367346,0.316739
S47-0387,2024-01-22,train,1102.2,0.403,0,1,0.553692,0.290000,0.417388,0.455344,0,0,0.339437,0.296650
S47-0388,2024-01-23,train,955.1,0.414,0,0,0.451974,0.290000,0.413410,0.452261,0,0,0.170908,0.204540
S47-0389,2024-01-24,train,849.7,0.412,0,0,0.374046,0.290000,0.126155,0.251661,0,0,0.015915,0.063333
S47-0390,2024-01-25,train,783.3,0.524,0,1,0.406585,0.290000,0.382017,0.428077,0,0,0.381903,0.327096
S47-0391,2024-01-26,train,638.4,0.453,0,0,0.263899,0.290000,0.126327,0.251762,0,0,0.015959,0.063384
S47-0392,2024-01-27,train,508.7,0.576,1,1,0.463590,0.290000,0.588881,0.588351,1,1,0.169019,0.169455
S47-0393,2024-01-28,train,552.4,0.339,0,1,0.164407,0.290000,0.152099,0.267244,0,0,0.718936,0.536931
S47-0394,2024-01-29,train,669.5,0.328,0,0,0.212905,0.290000,0.081451,0.226258,0,0,0.006634,0.051193
S47-0395,2024-01-30,train,415.9,0.311,0,0,0.107235,0.290000,0.047996,0.208469,0,0,0.002304,0.043459
S47-0396,2024-01-31,train,370.9,0.817,0,1,0.323814,0.290000,0.208560,0.303201,0,0,0.626378,0.485528
S47-0397,2024-02-01,train,288.3,0.618,1,0,0.336016,0.290000,0.075322,0.222920,0,0,0.005673,0.049693
S47-0398,2024-02-02,train,450.7,0.348,0,0,0.129668,0.290000,0.020300,0.194539,0,0,0.000412,0.037845
S47-0399,2024-02-03,train,713.6,0.906,0,1,0.636175,0.290000,0.373280,0.421401,0,0,0.392778,0.334777
S47-0400,2024-02-04,train,966.2,0.413,0,1,0.459489,0.290000,0.413593,0.452403,0,0,0.343873,0.299863
S47-0401,2024-02-05,train,429.3,0.606,0,0,0.232526,0.290000,0.079948,0.225436,0,0,0.006392,0.050821
S47-0402,2024-02-06,train,300.4,0.300,0,0,0.075942,0.290000,0.023049,0.195890,0,0,0.000531,0.038373
S47-0403,2024-02-07,train,626.1,0.724,1,0,0.657078,0.290000,0.509786,0.527429,1,1,0.259882,0.278182
S47-0404,2024-02-08,train,622.8,0.256,0,0,0.159279,0.290000,0.059523,0.214479,0,0,0.003543,0.046001
S47-0405,2024-02-09,train,906.1,0.544,0,0,0.512572,0.290000,0.247435,0.329480,0,0,0.061224,0.108557
S47-0406,2024-02-10,train,571.5,0.387,0,0,0.193957,0.290000,0.095803,0.234210,0,0,0.009178,0.054855
S47-0407,2024-02-11,train,845.0,0.357,0,0,0.333144,0.290000,0.097273,0.235036,0,0,0.009462,0.055242
S47-0408,2024-02-12,train,786.3,0.342,0,0,0.285957,0.290000,0.373880,0.421859,0,0,0.139787,0.177965
S47-0409,2024-02-13,train,753.0,0.401,1,0,0.515495,0.290000,0.296883,0.364493,0,0,0.088139,0.132855
S47-0410,2024-02-14,train,691.7,0.855,0,0,0.584215,0.290000,0.329651,0.388541,0,0,0.108670,0.150964
S47-0411,2024-02-15,train,879.9,0.699,0,1,0.607472,0.290000,0.536019,0.547817,1,1,0.215279,0.204469
S47-0412,2024-02-16,train,468.6,0.582,0,0,0.240818,0.290000,0.051397,0.210229,0,0,0.002642,0.044196
S47-0413,2024-02-17,train,920.8,0.412,0,0,0.425166,0.290000,0.244780,0.327649,0,0,0.059917,0.107354
S47-0414,2024-02-18,train,607.3,0.397,0,0,0.216344,0.290000,0.109045,0.241719,0,0,0.011891,0.058428
S47-0415,2024-02-19,train,636.3,0.635,0,1,0.380813,0.290000,0.499749,0.519600,0,1,0.250251,0.230784
S47-0416,2024-02-20,train,611.5,0.446,1,1,0.443369,0.290000,0.344005,0.399256,0,0,0.430330,0.360894
S47-0417,2024-02-21,train,439.3,0.371,0,0,0.133646,0.290000,0.028682,0.198679,0,0,0.000823,0.039473
S47-0418,2024-02-22,train,693.2,0.362,1,0,0.441667,0.290000,0.288210,0.358235,0,0,0.083065,0.128332
S47-0419,2024-02-23,train,305.1,0.459,0,0,0.118397,0.290000,0.021886,0.195318,0,0,0.000479,0.038149
S47-0420,2024-02-24,train,496.9,0.564,0,0,0.246512,0.290000,0.051858,0.210469,0,0,0.002689,0.044297
S47-0421,2024-02-25,train,424.1,0.265,1,0,0.208713,0.290000,0.010385,0.189727,0,0,0.000108,0.035996
S47-0422,2024-02-26,train,691.4,0.074,0,0,0.118805,0.290000,0.048719,0.208842,0,0,0.002374,0.043615
S47-0423,2024-02-27,train,761.4,0.240,1,0,0.402322,0.290000,0.360260,0.411508,0,0,0.129788,0.169339
S47-0424,2024-02-28,train,417.6,0.178,1,0,0.166145,0.290000,0.014584,0.191753,0,0,0.000213,0.036769
S47-0425,2024-02-29,train,1110.8,0.210,1,0,0.637008,0.290000,0.503859,0.522807,1,1,0.253874,0.273327
S47-0426,2024-03-01,train,321.3,0.424,0,0,0.112635,0.290000,0.035256,0.201972,0,0,0.001243,0.040793
S47-0427,2024-03-02,train,637.4,0.711,1,0,0.655928,0.290000,0.500664,0.520314,1,1,0.250664,0.270727
S47-0428,2024-03-03,train,500.3,0.495,1,1,0.397929,0.290000,0.456639,0.485913,0,0,0.295241,0.264285
S47-0429,2024-03-04,train,737.9,0.155,0,0,0.165026,0.290000,0.071788,0.221012,0,0,0.005154,0.048846
S47-0430,2024-03-05,train,703.6,0.529,0,0,0.353841,0.290000,0.110804,0.242728,0,0,0.012277,0.058917
S47-0431,2024-03-06,train,569.4,0.278,1,0,0.297799,0.290000,0.122132,0.249299,0,0,0.014916,0.062150
S47-0432,2024-03-07,train,306.3,0.724,0,1,0.229860,0.290000,0.237267,0.322494,0,0,0.581761,0.459014
S47-0433,2024-03-08,train,537.0,0.139,0,0,0.093469,0.290000,0.082347,0.226749,0,0,0.006781,0.051415
S47-0434,2024-03-09,train,685.2,0.765,1,1,0.721236,0.290000,0.792356,0.729762,1,1,0.043116,0.073029
S47-0435,2024-03-10,train,543.6,0.546,0,0,0.262852,0.290000,0.047625,0.208278,0,0,0.002268,0.043380
S47-0436,2024-03-11,train,591.7,0.206,1,0,0.267587,0.290000,0.119012,0.247477,0,0,0.014164,0.061245
S47-0437,2024-03-12,train,113.8,0.495,0,0,0.077730,0.290000,0.011996,0.190503,0,0,0.000144,0.036291
S47-0438,2024-03-13,train,666.5,0.517,1,1,0.537554,0.290000,0.747291,0.701091,1,1,0.063862,0.089347
S47-0439,2024-03-14,train,825.8,0.346,0,1,0.313329,0.290000,0.199025,0.296940,0,0,0.641561,0.494294
S47-0440,2024-03-15,train,407.2,0.202,1,0,0.171875,0.290000,0.018105,0.193466,0,0,0.000328,0.037429
S47-0441,2024-03-16,train,471.5,0.551,0,0,0.225744,0.290000,0.061741,0.215650,0,0,0.003812,0.046505
S47-0442,2024-03-17,train,651.9,0.354,0,0,0.217159,0.290000,0.031307,0.199989,0,0,0.000980,0.039996
S47-0443,2024-03-18,train,446.8,0.370,0,0,0.135920,0.290000,0.027386,0.198035,0,0,0.000750,0.039218
S47-0444,2024-03-19,train,755.8,0.094,1,0,0.299307,0.290000,0.142765,0.261567,0,0,0.020382,0.068417
S47-0445,2024-03-20,train,832.9,0.642,1,1,0.735887,0.290000,0.959601,0.820005,1,1,0.001632,0.032398
S47-0446,2024-03-21,train,655.4,0.215,1,0,0.312426,0.290000,0.088218,0.229984,0,0,0.007782,0.052892
S47-0447,2024-03-22,train,695.7,0.538,1,0,0.574711,0.290000,0.694100,0.665114,1,1,0.481775,0.442377
S47-0448,2024-03-23,train,782.9,0.037,1,1,0.280840,0.290000,0.250995,0.331944,0,0,0.561008,0.446298
S47-0449,2024-03-24,train,658.3,0.539,0,0,0.330019,0.290000,0.073275,0.221813,0,0,0.005369,0.049201
S47-0450,2024-03-25,train,356.2,0.842,0,0,0.330616,0.290000,0.140059,0.259937,0,0,0.019617,0.067567
S47-0451,2024-03-26,train,696.5,0.715,0,0,0.483631,0.290000,0.208518,0.303174,0,0,0.043480,0.091914
S47-0452,2024-03-27,train,382.3,0.323,1,1,0.216853,0.290000,0.241137,0.325144,0,0,0.575873,0.455431
