distributor_id,territory,prior_90d_sales_kidr,tenure_years,coached,assignment_propensity,estimated_propensity,ipw_ate,potential_sales_no_coaching_kidr,potential_sales_coaching_kidr,observed_next_90d_sales_kidr,simulated_individual_effect_kidr,overlap_supported
D46-249,East Indonesia,100.696,4.585,0,0.537345,0.522903,2.096009,104.789,112.789,104.789,8.000,1
D46-250,West Indonesia,101.227,2.171,1,0.433822,0.412572,2.423822,120.438,128.438,128.438,8.000,1
D46-251,Central Indonesia,80.225,5.328,0,0.393390,0.431270,1.758303,102.362,110.362,102.362,8.000,1
D46-252,East Indonesia,97.988,5.052,0,0.534679,0.528205,2.119564,123.279,131.279,123.279,8.000,1
D46-253,West Indonesia,94.968,6.392,1,0.568183,0.572524,1.746653,114.107,122.107,122.107,8.000,1
D46-254,Central Indonesia,103.675,6.352,0,0.639221,0.622746,2.650735,103.946,111.946,103.946,8.000,1
D46-255,East Indonesia,72.885,7.273,0,0.415837,0.477488,1.913831,104.160,112.160,104.160,8.000,1
D46-256,West Indonesia,97.604,6.112,0,0.578422,0.575566,2.356078,120.805,128.805,120.805,8.000,1
D46-257,Central Indonesia,76.715,2.363,0,0.251687,0.283567,1.395803,95.848,103.848,95.848,8.000,1
D46-258,East Indonesia,88.189,5.830,0,0.484009,0.504197,2.016932,113.190,121.190,113.190,8.000,1
D46-259,West Indonesia,96.874,7.804,0,0.644583,0.647396,2.836043,90.159,98.159,90.159,8.000,1
D46-260,Central Indonesia,81.017,5.854,1,0.422948,0.460801,2.170133,89.590,97.590,97.590,8.000,1
D46-261,East Indonesia,132.461,2.722,1,0.716282,0.629122,1.589516,135.441,143.441,143.441,8.000,1
D46-262,West Indonesia,119.910,2.309,0,0.601680,0.534382,2.147684,136.736,144.736,136.736,8.000,1
D46-263,Central Indonesia,127.227,6.479,1,0.805207,0.752386,1.329105,121.369,129.369,129.369,8.000,1
D46-264,East Indonesia,134.718,7.933,1,0.874689,0.828322,1.207259,115.295,123.295,123.295,8.000,1
D46-265,West Indonesia,79.207,6.749,1,0.446966,0.491935,2.032791,111.737,119.737,119.737,8.000,1
D46-266,Central Indonesia,108.722,3.876,0,0.575164,0.539121,2.169767,146.186,154.186,146.186,8.000,1
D46-267,East Indonesia,105.361,2.581,0,0.488056,0.456944,1.841432,133.363,141.363,133.363,8.000,1
D46-268,West Indonesia,104.335,4.888,1,0.582140,0.559650,1.786831,102.991,110.991,110.991,8.000,1
D46-269,Central Indonesia,107.802,2.536,1,0.507387,0.469923,2.128006,128.870,136.870,136.870,8.000,1
D46-270,East Indonesia,86.581,7.271,1,0.534723,0.562253,1.778557,100.746,108.746,108.746,8.000,1
D46-271,West Indonesia,68.729,6.205,0,0.336801,0.402212,1.672835,108.157,116.157,108.157,8.000,1
D46-272,Central Indonesia,83.871,3.624,0,0.351559,0.375333,1.600852,123.209,131.209,123.209,8.000,1
D46-273,East Indonesia,85.971,6.611,0,0.499741,0.527435,2.116111,130.449,138.449,130.449,8.000,1
D46-274,West Indonesia,92.666,5.090,0,0.489879,0.496931,1.987798,110.365,118.365,110.365,8.000,1
D46-275,Central Indonesia,104.535,1.274,0,0.422638,0.391431,1.643198,111.727,119.727,111.727,8.000,1
D46-276,East Indonesia,79.603,7.047,1,0.463705,0.508538,1.966420,98.976,106.976,106.976,8.000,1
D46-277,West Indonesia,73.180,3.804,0,0.278085,0.322727,1.476510,91.345,99.345,91.345,8.000,1
D46-278,Central Indonesia,90.446,2.011,0,0.337957,0.342543,1.521011,87.737,95.737,87.737,8.000,1
D46-279,East Indonesia,85.006,2.242,1,0.305503,0.322239,3.103283,101.789,109.789,109.789,8.000,1
D46-280,West Indonesia,102.651,6.762,1,0.647928,0.634963,1.574895,129.736,137.736,137.736,8.000,1
D46-281,Central Indonesia,64.263,7.161,0,0.340332,0.419235,1.721868,81.470,89.470,81.470,8.000,1
D46-282,East Indonesia,94.927,2.582,0,0.398242,0.393627,1.649149,108.316,116.316,108.316,8.000,1
D46-283,West Indonesia,95.061,4.400,0,0.479795,0.479097,1.919745,119.335,127.335,119.335,8.000,1
D46-284,Central Indonesia,89.360,4.136,1,0.418747,0.431525,2.317364,111.576,119.576,119.576,8.000,1
D46-285,East Indonesia,109.017,2.790,1,0.529415,0.489501,2.042898,133.631,141.631,141.631,8.000,1
D46-286,West Indonesia,118.605,2.195,1,0.585714,0.520896,1.919769,114.926,122.926,122.926,8.000,1
D46-287,Central Indonesia,93.950,3.748,1,0.440999,0.441502,2.264997,92.917,100.917,100.917,8.000,1
D46-288,East Indonesia,108.265,6.672,1,0.687882,0.662885,1.508557,141.417,149.417,149.417,8.000,1
D46-289,West Indonesia,85.102,6.662,0,0.494433,0.524457,2.102861,94.591,102.591,94.591,8.000,1
D46-290,Central Indonesia,95.326,7.276,1,0.609709,0.615115,1.625711,107.784,115.784,115.784,8.000,1
D46-291,East Indonesia,113.787,7.305,0,0.749781,0.717834,3.544011,140.615,148.615,140.615,8.000,1
D46-292,West Indonesia,69.366,6.354,0,0.347858,0.412868,1.703195,106.834,114.834,106.834,8.000,1
D46-293,Central Indonesia,89.936,3.196,0,0.382970,0.391804,1.644208,121.739,129.739,121.739,8.000,1
D46-294,East Indonesia,88.839,1.832,0,0.318456,0.326084,1.483865,95.311,103.311,95.311,8.000,1
D46-295,West Indonesia,47.672,5.520,1,0.176844,0.259177,3.858373,86.627,94.627,94.627,8.000,1
D46-296,Central Indonesia,119.188,4.825,0,0.698482,0.645056,2.817342,134.242,142.242,134.242,8.000,1
D46-297,East Indonesia,148.373,3.553,1,0.836525,0.746899,1.338870,147.115,155.115,155.115,8.000,1
D46-298,West Indonesia,160.976,6.134,1,0.926782,0.868262,1.151726,171.891,179.891,179.891,8.000,1
D46-299,Central Indonesia,127.618,4.760,1,0.754624,0.688862,1.451670,124.854,132.854,132.854,8.000,1
D46-300,East Indonesia,105.163,1.352,1,0.431451,0.398704,2.508128,115.568,123.568,123.568,8.000,1
D46-301,West Indonesia,106.775,6.004,1,0.649728,0.625346,1.599116,131.990,139.990,139.990,8.000,1
D46-302,Central Indonesia,95.431,2.880,0,0.415442,0.410237,1.695598,103.677,111.677,103.677,8.000,1
D46-303,East Indonesia,78.227,1.996,1,0.249220,0.277102,3.608773,101.640,109.640,109.640,8.000,1
D46-304,West Indonesia,62.425,2.417,0,0.170786,0.218886,1.280223,78.049,86.049,78.049,8.000,1
D46-305,Central Indonesia,114.483,7.799,1,0.770427,0.739782,1.351750,120.144,128.144,128.144,8.000,1
D46-306,East Indonesia,101.768,2.167,0,0.438301,0.415653,1.711313,103.551,111.551,103.551,8.000,1
D46-307,West Indonesia,73.432,5.021,1,0.326051,0.376606,2.655297,83.224,91.224,91.224,8.000,1
D46-308,Central Indonesia,69.149,7.170,0,0.380086,0.449516,1.816584,89.966,97.966,89.966,8.000,1
D46-309,East Indonesia,99.334,3.197,1,0.463105,0.448758,2.228373,93.544,101.544,101.544,8.000,1
D46-310,West Indonesia,81.916,1.975,0,0.273400,0.295031,1.418503,103.602,111.602,103.602,8.000,1
D46-311,Central Indonesia,82.018,3.619,0,0.336719,0.364366,1.573232,112.956,120.956,112.956,8.000,1
D46-312,East Indonesia,110.369,2.058,1,0.508338,0.463239,2.158715,127.595,135.595,135.595,8.000,1
D46-313,West Indonesia,97.064,7.060,1,0.614920,0.615647,1.624308,116.569,124.569,124.569,8.000,1
D46-314,Central Indonesia,63.643,6.671,0,0.316108,0.393087,1.647683,82.918,90.918,82.918,8.000,1
D46-315,East Indonesia,79.441,2.463,0,0.273641,0.301530,1.431700,113.412,121.412,113.412,8.000,1
D46-316,West Indonesia,97.561,1.376,1,0.368726,0.355379,2.813895,100.901,108.901,108.901,8.000,1
D46-317,Central Indonesia,87.910,1.298,1,0.291211,0.299342,3.340657,117.412,125.412,125.412,8.000,1
D46-318,East Indonesia,93.768,5.609,0,0.522859,0.528385,2.120374,104.736,112.736,104.736,8.000,1
D46-319,West Indonesia,86.991,7.563,1,0.551325,0.578335,1.729101,104.541,112.541,112.541,8.000,1
D46-320,Central Indonesia,81.550,4.325,1,0.361872,0.393149,2.543565,96.305,104.305,104.305,8.000,1
D46-321,East Indonesia,146.705,2.040,0,0.786150,0.679926,3.124277,139.256,147.256,139.256,8.000,1
D46-322,West Indonesia,69.941,6.665,1,0.365316,0.430753,2.321514,83.698,91.698,91.698,8.000,1
D46-323,Central Indonesia,105.437,2.770,0,0.497224,0.466331,1.873819,119.933,127.933,119.933,8.000,1
D46-324,East Indonesia,95.847,7.266,0,0.613613,0.617732,2.615965,113.232,121.232,113.232,8.000,1
D46-325,West Indonesia,88.258,1.633,0,0.306394,0.314712,1.459240,87.553,95.553,87.553,8.000,1
D46-326,Central Indonesia,106.375,1.034,1,0.427819,0.391485,2.554377,101.322,109.322,109.322,8.000,1
D46-327,East Indonesia,117.024,2.361,0,0.579524,0.518942,2.078750,145.315,153.315,145.315,8.000,1
D46-328,West Indonesia,103.218,7.538,1,0.683406,0.671500,1.489202,138.274,146.274,146.274,8.000,1
D46-329,Central Indonesia,81.393,7.248,0,0.488351,0.529180,2.123953,130.490,138.490,130.490,8.000,1
D46-330,East Indonesia,96.721,1.578,1,0.370348,0.359385,2.782531,105.216,113.216,113.216,8.000,1
D46-331,West Indonesia,80.591,1.131,0,0.235820,0.256498,1.344985,96.421,104.421,96.421,8.000,1
D46-332,Central Indonesia,86.656,1.957,0,0.306873,0.319398,1.469287,82.800,90.800,82.800,8.000,1
D46-333,East Indonesia,105.199,6.418,1,0.654121,0.634523,1.575987,102.027,110.027,110.027,8.000,1
D46-334,West Indonesia,115.579,5.691,1,0.704672,0.661942,1.510707,123.536,131.536,131.536,8.000,1
D46-335,Central Indonesia,73.934,3.811,0,0.283670,0.327134,1.486181,107.559,115.559,107.559,8.000,1
D46-336,East Indonesia,94.862,4.128,0,0.465856,0.464997,1.869147,107.471,115.471,107.471,8.000,1
D46-337,West Indonesia,69.894,1.878,1,0.195341,0.233504,4.282587,88.684,96.684,96.684,8.000,1
D46-338,Central Indonesia,101.631,4.262,0,0.531021,0.513404,2.055092,119.734,127.734,119.734,8.000,1
D46-339,East Indonesia,85.323,3.113,0,0.342234,0.361173,1.565370,97.539,105.539,97.539,8.000,1
D46-340,West Indonesia,116.537,4.145,1,0.651331,0.599247,1.668760,102.497,110.497,110.497,8.000,1
D46-341,Central Indonesia,109.543,1.293,0,0.466735,0.422363,1.731191,106.373,114.373,106.373,8.000,1
D46-342,East Indonesia,105.946,1.600,0,0.449203,0.414763,1.708709,112.975,120.975,112.975,8.000,1
D46-343,West Indonesia,76.547,6.772,1,0.425094,0.476495,2.098657,90.353,98.353,98.353,8.000,1
D46-344,Central Indonesia,104.275,3.085,1,0.501231,0.474023,2.109603,110.292,118.292,118.292,8.000,1
D46-345,East Indonesia,85.689,6.779,0,0.504834,0.533630,2.144221,107.487,115.487,107.487,8.000,1
D46-346,West Indonesia,90.928,2.770,1,0.373105,0.378501,2.641998,126.695,134.695,134.695,8.000,1
D46-347,Central Indonesia,62.356,7.433,1,0.336351,0.420253,2.379518,79.586,87.586,87.586,8.000,1
D46-348,East Indonesia,97.360,3.609,0,0.464366,0.455964,1.838113,99.943,107.943,99.943,8.000,1
D46-349,West Indonesia,105.263,4.537,0,0.574654,0.548895,2.216778,106.515,114.515,106.515,8.000,1
D46-350,Central Indonesia,82.837,3.344,1,0.332082,0.357028,2.800900,108.651,116.651,116.651,8.000,1
D46-351,East Indonesia,91.750,7.843,0,0.604199,0.619521,2.628263,116.864,124.864,116.864,8.000,1
D46-352,West Indonesia,52.382,7.817,0,0.276964,0.378239,1.608336,71.409,79.409,71.409,8.000,1
D46-353,Central Indonesia,112.154,1.443,0,0.496283,0.445311,1.802811,118.808,126.808,118.808,8.000,1
D46-354,East Indonesia,124.408,2.402,1,0.642594,0.566436,1.765425,128.956,136.956,136.956,8.000,1
D46-355,West Indonesia,113.575,1.683,0,0.519506,0.465376,1.870472,121.322,129.322,121.322,8.000,1
D46-356,Central Indonesia,77.300,2.445,0,0.258381,0.289726,1.407907,85.759,93.759,85.759,8.000,1
D46-357,East Indonesia,90.875,4.487,0,0.447268,0.457278,1.842564,123.313,131.313,123.313,8.000,1
D46-358,West Indonesia,40.716,5.702,0,0.148226,0.233475,1.304589,68.930,76.930,68.930,8.000,1
D46-359,Central Indonesia,93.455,5.602,1,0.519811,0.526113,1.900734,107.863,115.863,115.863,8.000,1
D46-360,East Indonesia,140.304,1.230,1,0.717489,0.608354,1.643781,141.623,149.623,149.623,8.000,1
D46-361,West Indonesia,79.678,1.333,0,0.236615,0.259489,1.350418,84.406,92.406,84.406,8.000,1
D46-362,Central Indonesia,120.495,4.088,0,0.679868,0.620106,2.632313,133.732,141.732,133.732,8.000,1
D46-363,East Indonesia,96.059,3.840,0,0.463382,0.458812,1.847786,91.987,99.987,91.987,8.000,1
D46-364,West Indonesia,80.913,7.501,1,0.495534,0.538159,1.858187,116.702,124.702,124.702,8.000,1
D46-365,Central Indonesia,76.601,2.672,1,0.261535,0.295042,3.389346,89.520,97.520,97.520,8.000,1
D46-366,East Indonesia,105.147,7.444,1,0.694250,0.678118,1.474670,124.134,132.134,132.134,8.000,1
D46-367,West Indonesia,103.755,1.876,0,0.442531,0.414247,1.707203,111.654,119.654,111.654,8.000,1
D46-368,Central Indonesia,90.711,5.552,0,0.493562,0.506693,2.027136,100.862,108.862,100.862,8.000,1
D46-369,East Indonesia,86.380,4.963,0,0.429630,0.451949,1.824646,112.155,120.155,112.155,8.000,1
D46-370,West Indonesia,96.546,7.489,0,0.628813,0.631732,2.715417,116.192,124.192,116.192,8.000,1
D46-371,Central Indonesia,81.575,7.283,1,0.491517,0.531963,1.879832,117.095,125.095,125.095,8.000,1
D46-372,East Indonesia,65.167,2.345,1,0.182865,0.228358,4.379095,94.836,102.836,102.836,8.000,1
D46-373,West Indonesia,82.273,6.788,0,0.475369,0.512855,2.052776,124.331,132.331,124.331,8.000,1
D46-374,Central Indonesia,81.262,2.050,1,0.271539,0.294608,3.394343,98.017,106.017,106.017,8.000,1
D46-375,East Indonesia,75.525,4.316,1,0.314375,0.357616,2.796293,92.663,100.663,100.663,8.000,1
D46-376,West Indonesia,106.676,1.142,1,0.435172,0.398173,2.511472,129.851,137.851,137.851,8.000,1
D46-377,Central Indonesia,120.218,2.957,1,0.631787,0.566704,1.764590,126.300,134.300,134.300,8.000,1
D46-378,East Indonesia,109.219,1.966,0,0.494137,0.451802,1.824159,126.962,134.962,126.962,8.000,1
D46-379,West Indonesia,120.655,6.521,1,0.767938,0.722284,1.384497,135.406,143.406,143.406,8.000,1
D46-380,Central Indonesia,48.957,5.760,1,0.190047,0.274339,3.645129,67.702,75.702,75.702,8.000,1
D46-381,East Indonesia,96.608,4.378,1,0.492331,0.487667,2.050578,85.684,93.684,93.684,8.000,1
D46-382,West Indonesia,96.421,1.638,0,0.370418,0.360289,1.563206,113.038,121.038,113.038,8.000,1
D46-383,Central Indonesia,125.759,7.255,1,0.818685,0.772442,1.294595,124.811,132.811,132.811,8.000,1
D46-384,East Indonesia,78.929,4.566,0,0.350782,0.388513,1.635358,97.976,105.976,97.976,8.000,1
D46-385,West Indonesia,78.557,4.677,1,0.352368,0.391323,2.555431,109.631,117.631,117.631,8.000,1
D46-386,Central Indonesia,129.750,3.814,1,0.736483,0.661118,1.512589,153.975,161.975,161.975,8.000,1
D46-387,East Indonesia,94.208,6.442,1,0.563859,0.570216,1.753720,85.612,93.612,93.612,8.000,1
D46-388,West Indonesia,116.533,4.718,1,0.674343,0.625041,1.599896,109.755,117.755,117.755,8.000,1
D46-389,Central Indonesia,122.160,5.118,1,0.730437,0.674135,1.483383,149.998,157.998,157.998,8.000,1
D46-390,East Indonesia,73.735,5.817,0,0.360726,0.414513,1.707979,121.990,129.990,121.990,8.000,1
D46-391,West Indonesia,125.436,3.861,1,0.707907,0.638730,1.565607,122.841,130.841,130.841,8.000,1
D46-392,Central Indonesia,89.417,3.229,1,0.380086,0.390221,2.562651,103.786,111.786,111.786,8.000,1
D46-393,East Indonesia,148.642,3.520,1,0.836999,0.746980,1.338724,154.129,162.129,162.129,8.000,1
D46-394,West Indonesia,100.423,3.937,1,0.505866,0.490470,2.038859,89.581,97.581,97.581,8.000,1
D46-395,Central Indonesia,96.171,2.378,1,0.399878,0.391774,2.552492,111.774,119.774,119.774,8.000,1
D46-396,East Indonesia,58.211,2.857,0,0.161331,0.215260,1.274307,91.647,99.647,91.647,8.000,1
D46-397,West Indonesia,105.627,5.697,0,0.627710,0.604789,2.530292,134.122,142.122,134.122,8.000,1
D46-398,Central Indonesia,67.411,7.499,0,0.379706,0.454273,1.832418,96.647,104.647,96.647,8.000,1
D46-399,East Indonesia,95.275,6.458,1,0.573725,0.577452,1.731746,129.719,137.719,137.719,8.000,1
D46-400,West Indonesia,53.211,3.374,0,0.150550,0.210854,1.267193,88.422,96.422,88.422,8.000,1
D46-401,Central Indonesia,96.063,5.860,1,0.554039,0.554388,1.803791,109.297,117.297,117.297,8.000,1
D46-402,East Indonesia,88.130,6.942,0,0.533477,0.556361,2.254084,92.461,100.461,92.461,8.000,1
D46-403,West Indonesia,121.894,5.491,1,0.741671,0.688074,1.453331,118.011,126.011,126.011,8.000,1
D46-404,Central Indonesia,116.897,2.396,1,0.579976,0.519811,1.923775,128.120,136.120,136.120,8.000,1
D46-405,East Indonesia,108.403,4.900,0,0.616828,0.584979,2.409515,117.264,125.264,117.264,8.000,1
D46-406,West Indonesia,82.878,7.856,1,0.528671,0.566901,1.763978,81.001,89.001,89.001,8.000,1
D46-407,Central Indonesia,112.695,3.447,0,0.590198,0.543448,2.190331,120.547,128.547,120.547,8.000,1
D46-408,East Indonesia,110.612,2.230,0,0.518197,0.472873,1.897075,108.967,116.967,108.967,8.000,1
D46-409,West Indonesia,112.901,7.746,1,0.758746,0.730155,1.369573,145.385,153.385,153.385,8.000,1
D46-410,Central Indonesia,80.780,3.900,1,0.338340,0.369601,2.705621,101.833,109.833,109.833,8.000,1
D46-411,East Indonesia,119.452,1.642,0,0.568659,0.499934,1.999737,137.466,145.466,137.466,8.000,1
D46-412,West Indonesia,118.529,4.167,0,0.667872,0.612082,2.577866,126.769,134.769,126.769,8.000,1
D46-413,Central Indonesia,112.208,3.499,1,0.588338,0.542890,1.841993,134.027,142.027,142.027,8.000,1
D46-414,East Indonesia,78.056,2.099,0,0.251577,0.280177,1.389231,101.109,109.109,101.109,8.000,1
D46-415,West Indonesia,75.353,6.145,0,0.387806,0.439592,1.784414,109.722,117.722,109.722,8.000,1
D46-416,Central Indonesia,88.609,4.304,1,0.419710,0.434767,2.300085,88.431,96.431,96.431,8.000,1
D46-417,East Indonesia,96.536,4.396,0,0.492511,0.488073,1.953405,125.882,133.882,125.882,8.000,1
D46-418,West Indonesia,80.582,4.478,1,0.360409,0.394332,2.535934,110.568,118.568,118.568,8.000,1
D46-419,Central Indonesia,118.355,3.111,1,0.623024,0.562494,1.777797,131.596,139.596,139.596,8.000,1
D46-420,East Indonesia,92.211,1.255,0,0.321538,0.320479,1.471625,98.188,106.188,98.188,8.000,1
D46-421,West Indonesia,82.640,2.833,1,0.310526,0.333991,2.994090,83.988,91.988,91.988,8.000,1
D46-422,Central Indonesia,94.030,1.427,0,0.342519,0.337678,1.509840,105.352,113.352,105.352,8.000,1
D46-423,East Indonesia,134.919,2.138,0,0.712387,0.617455,2.614071,134.012,142.012,134.012,8.000,1
D46-424,West Indonesia,66.334,2.443,0,0.191767,0.236861,1.310377,91.199,99.199,91.199,8.000,1
D46-425,Central Indonesia,116.745,4.737,1,0.676719,0.627120,1.594591,119.364,127.364,127.364,8.000,1
D46-426,East Indonesia,114.645,6.729,0,0.735711,0.699676,3.329733,126.957,134.957,126.957,8.000,1
D46-427,West Indonesia,123.695,3.077,1,0.664449,0.593321,1.685427,148.454,156.454,156.454,8.000,1
D46-428,Central Indonesia,94.939,6.090,1,0.554548,0.558261,1.791278,102.491,110.491,110.491,8.000,1
D46-429,East Indonesia,52.487,6.843,0,0.243937,0.336417,1.506970,85.779,93.779,85.779,8.000,1
D46-430,West Indonesia,95.055,4.523,0,0.485271,0.484890,1.941331,130.518,138.518,130.518,8.000,1
D46-431,Central Indonesia,57.886,6.348,0,0.262822,0.345491,1.527862,98.606,106.606,98.606,8.000,1
D46-432,East Indonesia,119.519,3.137,0,0.633631,0.570818,2.330015,112.290,120.290,112.290,8.000,1
D46-433,West Indonesia,115.382,6.055,0,0.716724,0.676154,3.087886,109.918,117.918,109.918,8.000,1
D46-434,Central Indonesia,92.170,1.014,0,0.311840,0.310381,1.450076,99.592,107.592,99.592,8.000,1
D46-435,East Indonesia,95.001,4.544,0,0.485743,0.485550,1.943822,96.179,104.179,96.179,8.000,1
D46-436,West Indonesia,127.713,2.474,0,0.671566,0.589822,2.437968,139.130,147.130,139.130,8.000,1
D46-437,Central Indonesia,64.644,5.702,1,0.286775,0.355859,2.810105,72.831,80.831,80.831,8.000,1
D46-438,East Indonesia,98.243,5.655,0,0.563752,0.558172,2.263326,123.695,131.695,123.695,8.000,1
D46-439,West Indonesia,106.980,1.989,0,0.475599,0.439119,1.782909,122.019,130.019,122.019,8.000,1
D46-440,Central Indonesia,125.017,5.936,1,0.776273,0.721781,1.385462,152.499,160.499,160.499,8.000,1
D46-441,East Indonesia,119.724,1.038,0,0.544179,0.472989,1.897495,119.147,127.147,119.147,8.000,1
D46-442,West Indonesia,130.601,1.031,0,0.635669,0.540208,2.174895,126.590,134.590,126.590,8.000,1
D46-443,Central Indonesia,105.079,4.253,0,0.560528,0.534375,2.147651,132.167,140.167,132.167,8.000,1
D46-444,East Indonesia,130.053,7.264,1,0.840154,0.790958,1.264289,128.537,136.537,136.537,8.000,1
D46-445,West Indonesia,85.783,6.094,0,0.474852,0.501758,2.007059,109.908,117.908,109.908,8.000,1
D46-446,Central Indonesia,126.683,3.885,1,0.717725,0.646900,1.545833,135.516,143.516,143.516,8.000,1
D46-447,East Indonesia,104.371,6.484,1,0.650242,0.632649,1.580656,131.300,139.300,139.300,8.000,1
D46-448,West Indonesia,78.924,6.178,0,0.419307,0.463143,1.862694,89.488,97.488,89.488,8.000,1
D46-449,Central Indonesia,107.597,5.730,1,0.645037,0.617923,1.618324,104.869,112.869,112.869,8.000,1
D46-450,East Indonesia,80.759,3.402,1,0.318413,0.347741,2.875704,82.833,90.833,90.833,8.000,1
D46-451,West Indonesia,94.254,2.003,0,0.368055,0.363838,1.571926,101.980,109.980,101.980,8.000,1
D46-452,Central Indonesia,93.974,1.288,0,0.336469,0.331494,1.495872,102.596,110.596,102.596,8.000,1
D46-453,East Indonesia,138.119,3.904,0,0.791977,0.709635,3.443946,167.715,175.715,167.715,8.000,1
D46-454,West Indonesia,96.142,1.804,0,0.375121,0.365971,1.577214,101.263,109.263,101.263,8.000,1
D46-455,Central Indonesia,87.789,7.850,0,0.570922,0.596350,2.477394,120.944,128.944,120.944,8.000,1
D46-456,East Indonesia,85.151,6.959,1,0.508226,0.538798,1.855983,108.871,116.871,116.871,8.000,1
D46-457,West Indonesia,106.576,2.166,1,0.480021,0.444926,2.247564,114.074,122.074,122.074,8.000,1
D46-458,Central Indonesia,112.891,3.633,0,0.599918,0.553399,2.239138,122.396,130.396,122.396,8.000,1
D46-459,East Indonesia,125.221,6.816,1,0.803705,0.754995,1.324511,146.402,154.402,154.402,8.000,1
D46-460,West Indonesia,110.095,1.326,1,0.473027,0.427250,2.340550,111.978,119.978,119.978,8.000,1
D46-461,Central Indonesia,115.921,7.908,0,0.782565,0.750505,4.008094,109.176,117.176,109.176,8.000,1
D46-462,East Indonesia,62.909,2.404,0,0.172864,0.220528,1.282919,110.863,118.863,110.863,8.000,1
D46-463,West Indonesia,109.341,4.798,1,0.620242,0.585944,1.706647,120.249,128.249,128.249,8.000,1
D46-464,Central Indonesia,91.521,4.491,0,0.453043,0.461459,1.856867,103.266,111.266,103.266,8.000,1
D46-465,East Indonesia,102.359,1.996,0,0.435817,0.411348,1.698796,120.474,128.474,120.474,8.000,1
D46-466,West Indonesia,27.520,3.002,1,0.063184,0.116122,8.611619,66.609,74.609,74.609,8.000,1
D46-467,Central Indonesia,114.179,7.508,0,0.759091,0.727511,3.669872,130.688,138.688,130.688,8.000,1
D46-468,East Indonesia,87.931,2.557,1,0.340256,0.351849,2.842128,100.292,108.292,108.292,8.000,1
D46-469,West Indonesia,114.754,2.673,0,0.573839,0.519626,2.081710,117.883,125.883,117.883,8.000,1
D46-470,Central Indonesia,79.458,3.952,0,0.330127,0.364252,1.572951,80.960,88.960,80.960,8.000,1
D46-471,East Indonesia,132.520,2.657,1,0.714320,0.626582,1.595959,149.334,157.334,157.334,8.000,1
D46-472,West Indonesia,85.039,7.001,0,0.509135,0.540086,2.174321,88.114,96.114,88.114,8.000,1
D46-473,Central Indonesia,117.196,1.748,1,0.553915,0.490931,2.036945,124.586,132.586,132.586,8.000,1
D46-474,East Indonesia,128.002,7.242,1,0.829718,0.781683,1.279291,139.862,147.862,147.862,8.000,1
D46-475,West Indonesia,105.259,2.873,0,0.500301,0.470096,1.887134,107.939,115.939,107.939,8.000,1
D46-476,Central Indonesia,113.332,3.762,0,0.609159,0.562146,2.283867,116.702,124.702,116.702,8.000,1
D46-477,East Indonesia,109.526,4.034,0,0.588927,0.551517,2.229740,127.516,135.516,127.516,8.000,1
D46-478,West Indonesia,107.779,4.041,0,0.574356,0.541072,2.178992,118.756,126.756,118.756,8.000,1
D46-479,Central Indonesia,94.592,1.840,0,0.363992,0.358639,1.559184,126.629,134.629,126.629,8.000,1
D46-480,East Indonesia,96.949,1.321,0,0.361466,0.349521,1.537329,115.146,123.146,115.146,8.000,1
D46-481,West Indonesia,104.137,3.624,1,0.524260,0.498720,2.005134,118.597,126.597,126.597,8.000,1
D46-482,Central Indonesia,83.427,6.757,0,0.484057,0.518557,2.077089,111.944,119.944,111.944,8.000,1
D46-483,East Indonesia,98.992,6.468,1,0.605625,0.600299,1.665836,134.791,142.791,142.791,8.000,1
D46-484,West Indonesia,75.717,4.022,1,0.304503,0.345980,2.890337,79.545,87.545,87.545,8.000,1
D46-485,Central Indonesia,86.561,2.329,1,0.320572,0.334413,2.990312,88.667,96.667,96.667,8.000,1
D46-486,East Indonesia,82.208,6.881,1,0.478977,0.516860,1.934759,116.778,124.778,124.778,8.000,1
D46-487,West Indonesia,121.408,3.434,0,0.660921,0.595939,2.474873,120.941,128.941,120.941,8.000,1
D46-488,Central Indonesia,102.610,2.095,0,0.442370,0.417424,1.716514,115.777,123.777,115.777,8.000,1
D46-489,East Indonesia,89.052,5.810,0,0.490656,0.508616,2.035069,107.073,115.073,107.073,8.000,1
D46-490,West Indonesia,108.149,5.654,0,0.646328,0.617760,2.616158,81.236,89.236,81.236,8.000,1
D46-491,Central Indonesia,120.545,4.300,0,0.688491,0.629829,2.701457,110.939,118.939,110.939,8.000,1
D46-492,East Indonesia,93.233,4.986,0,0.490160,0.495523,1.982250,96.950,104.950,96.950,8.000,1
D46-493,West Indonesia,105.800,1.330,0,0.435954,0.401506,1.670860,108.588,116.588,108.588,8.000,1
D46-494,Central Indonesia,74.014,5.510,1,0.350302,0.402112,2.486872,76.933,84.933,84.933,8.000,1
D46-495,East Indonesia,78.409,3.457,0,0.302921,0.336927,1.508129,100.402,108.402,100.402,8.000,1
D46-496,West Indonesia,92.756,2.096,1,0.359794,0.359308,2.783126,120.823,128.823,128.823,8.000,1
D46-497,Central Indonesia,104.103,3.560,1,0.521089,0.495471,2.018281,108.272,116.272,116.272,8.000,1
D46-498,East Indonesia,85.039,7.835,1,0.546531,0.579081,1.726873,86.107,94.107,94.107,8.000,1
